,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A
0,Chrom__sac_log,1.530179910474597,1.697422948759138,2.0,0.0,2.730439188083849,1.0,0.3299206328653449,,
1,Chrom__sac_sta,-0.2032541460638404,0.7730157010241134,2.0,2.0,0.343350498093983,3.0,-0.7498587902216638,,
2,Chrom__sac_MW001,1.609823385706477e-15,0.483301985588708,2.0,4.0,-0.3417461113706969,5.0,0.3417461113707001,,
3,Chrom__sac_fadR,0.10740760565035465,0.25288161439578244,2.0,6.0,-0.07140669872630477,7.0,0.2862219100270141,,
4,FadR__wt_p,-1.3322676295501878e-15,1.0192869624893173,2.0,8.0,-0.7207447231512357,9.0,0.7207447231512331,,
5,FadR__ko_p,1.3226495707334491,0.10425636117229131,2.0,10.0,1.248929190766688,11.0,1.39636995070021,,
6,GDGT__75_2.4_log,2.9605947323337506e-16,2.0552014205762936,3.0,12.0,1.275825114372095,27.0,-2.3708452123379686,50.0,1.0950200979658746
7,GDGT__80_3.5_stat,1.95065089351245,0.9266194557519752,3.0,13.0,0.912303621049923,20.0,2.246218129778708,42.0,2.6934309297087187
8,GDGT__80_2.4_log,0.4168768747181905,1.247088163286888,3.0,14.0,1.1943422778077828,37.0,-1.021565094795274,41.0,1.0778534411420626
9,GDGT__75_3.5_stat,0.9639026295867512,1.9005326420403261,3.0,15.0,0.7782328947146068,24.0,-0.8369809048588195,28.0,2.9504558989044662
10,GDGT__80_1.6_stat,3.5640741049947895,1.1420874399075522,3.0,16.0,3.5920194264657,17.0,2.4082704521022187,33.0,4.691932436416449
11,GDGT__75_2.4_stat,0.4278939865453652,1.584377255464075,3.0,18.0,1.70896198568214,26.0,-1.3437456110211268,31.0,0.9184655849750823
12,GDGT__80_2.4_stat,-2.41493960361905,2.220525005667904,3.0,19.0,0.14141286039140866,29.0,-3.864952562220158,30.0,-3.5212791090283995
13,GDGT__80_1.6_log,1.8374151914040202,2.156157911305664,2.0,21.0,3.3620490717972777,39.0,0.31278131101076273,,
14,GDGT__65_3.5_stat,4.131502861646223,3.769293614367108,3.0,22.0,6.3690208555350365,23.0,-0.22032113179554666,34.0,6.24580886119918
15,GDGT__75_1.6_stat,1.6027050136268617,0.9183289616675262,3.0,25.0,0.6046492084857178,32.0,2.4119611212423715,38.0,1.7915047111524958
16,GDGT__75_1.6_log,1.7470129906318614,1.2744347273463195,2.0,35.0,2.6481744285180726,36.0,0.8458515527456502,,
17,GDGT__65_2.4_stat,7.166928220865103,1.346687607991819,3.0,40.0,5.660846474220881,46.0,8.255164325116212,49.0,7.5847738632582145
18,GDGT__65_2.4_log,3.7034389856530257,2.6808355314817107,3.0,43.0,6.204584148964321,44.0,4.032449830375423,47.0,0.8732829776193316
19,GDGT__80_3.5_log,-0.8116436874920893,3.090683066937912,3.0,45.0,-1.4323515905954485,51.0,-3.5448670874341266,52.0,2.5422876155533074
20,GDGT__65_1.6_log,1.612549928317368,3.409529739265516,3.0,48.0,5.542909906712842,53.0,-0.15490329712206966,54.0,-0.5503568246386674
21,NutLim__t0,1.1102230246251565e-16,0.37310828226903087,2.0,55.0,0.2638273965092963,56.0,-0.2638273965092961,,
22,NutLim__t05,0.9803537460418683,0.3755849308633366,3.0,57.0,1.3354041230911375,58.0,0.5871471660865029,59.0,1.0185099489479648
23,NutLim__t1,2.0206184550287536,0.3457249015456074,3.0,60.0,2.3846779990721525,61.0,1.6967394889948768,62.0,1.9804378770192317
24,NutLim__t15,1.9244216804454848,1.2428434471102714,3.0,63.0,2.4884798482925263,64.0,0.4995721287805426,65.0,2.785213064263385
25,NutLim__t2,2.502178704311204,0.8197759372074795,3.0,66.0,2.904856711856276,67.0,1.5589364697167167,68.0,3.04274293136062
26,NutLim__t4,4.414675006309949,0.9933868721133965,2.0,69.0,5.1171055999230255,70.0,3.7122444126968728,,
27,UV_irr__wt0,-3.7007434154171886e-16,1.0530588284787687,3.0,71.0,-0.175601386147004,72.0,1.1298208517674275,73.0,-0.9542194656204246
28,UV_irr__wt1,-2.607534804277334,1.0428416282999344,3.0,74.0,-2.453129979833059,75.0,-1.6505041555521294,76.0,-3.718970277446813
29,UV_irr__wt2,-3.0926262927292143,0.5784964208037074,3.0,77.0,-2.4412616541021244,78.0,-3.290046421423892,79.0,-3.5465708026616265
30,UV_irr__mut0,0.5993634350021934,0.4323185812027859,3.0,80.0,1.074747773801538,81.0,0.4936055426931321,82.0,0.2297369885119099
31,UV_irr__mut1,-2.6956537850665927,0.8757567968394896,3.0,83.0,-2.120308647459641,84.0,-2.2631295427936844,85.0,-3.7035231649464513
32,UV_irr__mut2,-2.70989173484438,0.61857983497771,3.0,86.0,-3.1461001772877197,87.0,-2.0019583002259207,88.0,-2.9816167270195
33,YtrA__overexpr,0.3658745146960037,0.22407102526714667,3.0,89.0,0.1116083314366141,90.0,0.4515424956626703,91.0,0.5344727169887266
34,YtrA__wt,4.810966440042345e-16,0.38601617791086745,3.0,92.0,0.08403707958030493,93.0,-0.4211119538065715,94.0,0.33707487422626803
