,potA
Cr_1,-0.015609631580188691
Cr_2,-0.0180413621434045
Cr_3,-0.012404632670598274
Cr_4,-0.006532197161083772
Cr_5,-0.014928160076755572
Cr_6,-0.02779740057291772
Fe_1,-0.012861526955095242
Fe_2,-0.03525845104426037
Fe_3,-0.037378629714643764
Fe_4,-0.04179572544668146
Fe_5,-0.038894020696131404
Fe_6,-0.028332834126641532
Cd_1,0.006248648058124701
Cd_2,0.015162132204333725
Cd_3,0.020231549306721285
Cd_4,0.01948514598019516
Cd_5,0.014511933019724452
Cd_6,0.011964851519046672
Zn_1,-0.08164845580634017
Zn_2,-0.14668467370581642
Zn_3,-0.16493496732117374
Zn_4,0.028062815745277168
Zn_5,0.40980192446752506
Zn_6,0.3527945746696138
Cu_1,0.009451212191635871
Cu_2,0.024187624388173186
Cu_3,0.04187216947401698
Cu_4,0.055068190538912064
Cu_5,0.06432766296375024
Cu_6,0.07491978054219993
Pb_1,0.004136086931891902
Pb_2,0.005813267159909106
Pb_3,0.0213920973222905
Pb_4,0.01964864947287265
Pb_5,0.02655269916577698
Pb_6,0.035089818942462235
