,yahB
Cr_1,-0.006174528140764813
Cr_2,-0.0007862179579025115
Cr_3,0.00416340366969349
Cr_4,0.00551249630374194
Cr_5,0.01302466441390173
Cr_6,0.012688221558406355
Fe_1,-0.013995163108003377
Fe_2,-0.045296797556544297
Fe_3,-0.08307677242018081
Fe_4,-0.13279242186340212
Fe_5,-0.17381741606859696
Fe_6,-0.20701648994626107
Cd_1,-0.00172506354337286
Cd_2,0.0010558754438285392
Cd_3,0.006308578499370165
Cd_4,0.0071694716697905045
Cd_5,0.007923086808947054
Cd_6,0.01497727429378148
Zn_1,-0.0019862040252429697
Zn_2,0.0008892247187127229
Zn_3,-0.0011094596479466255
Zn_4,0.006772634488615007
Zn_5,0.013738917704075973
Zn_6,0.02022976424286877
Cu_1,0.001728677647310388
Cu_2,0.006622432585541992
Cu_3,0.009930235553399176
Cu_4,0.00993919493590866
Cu_5,0.01360857369733653
Cu_6,0.019871210535163632
Pb_1,0.006341839838178323
Pb_2,0.01803327821052256
Pb_3,0.026679633796393404
Pb_4,0.04019928629694625
Pb_5,0.052818108531854
Pb_6,0.06341065574819715
