,gcvT
Cr_1,0.002044676221165308
Cr_2,0.00024442304324161956
Cr_3,-0.0009362882115589506
Cr_4,-0.0028380208005396807
Cr_5,-0.007626804340932192
Cr_6,-0.011638052939146862
Fe_1,0.01912222351903817
Fe_2,0.043273787257779465
Fe_3,0.056665647014405365
Fe_4,0.06943773892688232
Fe_5,0.08678391007187776
Fe_6,0.10048281375403544
Cd_1,0.02311034701138336
Cd_2,0.033154451530379554
Cd_3,0.04235831947107077
Cd_4,0.05074325636771212
Cd_5,0.048431333558644166
Cd_6,0.04893297162508186
Zn_1,0.0027620814692927557
Zn_2,0.011237052675073477
Zn_3,0.02642110940346905
Zn_4,0.04463489746400008
Zn_5,0.05869776527157119
Zn_6,0.06581654024458466
Cu_1,0.007021767955336695
Cu_2,0.0122505594814184
Cu_3,0.01386987936958896
Cu_4,0.01608623465865505
Cu_5,0.022584502486267272
Cu_6,0.03271865746945988
Pb_1,0.008021127497277288
Pb_2,0.0179911796109189
Pb_3,0.02279120123885696
Pb_4,0.03111133382583845
Pb_5,0.04018535934664235
Pb_6,0.050896646901154224
