,proX
Cr_1,0.000305500720148606
Cr_2,0.01046866094593332
Cr_3,0.00992446013792922
Cr_4,0.008278553580409163
Cr_5,0.0115827602296543
Cr_6,0.015545482560614672
Fe_1,-0.008548726227724486
Fe_2,-0.024958174555355525
Fe_3,-0.03775847446598414
Fe_4,-0.0443997404600638
Fe_5,-0.046533820087634
Fe_6,-0.039275287218622376
Cd_1,0.0035717532856966204
Cd_2,0.003118104523967564
Cd_3,0.006288107874958854
Cd_4,0.0072717263143969296
Cd_5,0.005108132860538596
Cd_6,0.005314524370256478
Zn_1,-0.006426401940386923
Zn_2,-0.01820648195195296
Zn_3,0.0007048841421540014
Zn_4,0.016781640579427888
Zn_5,0.025457317380736654
Zn_6,0.03421306231206042
Cu_1,-0.003206587231037746
Cu_2,-0.0018909209599877136
Cu_3,-0.0016150704207978821
Cu_4,-0.005536108630964209
Cu_5,-0.0064033074594361285
Cu_6,-0.0019958828776903497
Pb_1,0.0022720102158168267
Pb_2,-0.0028990920559655727
Pb_3,2.843329376674585e-05
Pb_4,-0.006691485545469732
Pb_5,-0.006242322340505033
Pb_6,-0.008389520037581795
