,amiC
Cr_1,0.015378610614259337
Cr_2,0.0350160115016887
Cr_3,0.049791037998189736
Cr_4,0.05867117072821331
Cr_5,0.06235988284023524
Cr_6,0.060489410837894386
Fe_1,-0.012637987133676686
Fe_2,-0.017707091943849347
Fe_3,-0.011027520405992449
Fe_4,0.0012382142061752672
Fe_5,0.026379563825665142
Fe_6,0.043775813800537744
Cd_1,-0.0014621972682673265
Cd_2,0.002466738027502081
Cd_3,0.010113901582084984
Cd_4,0.013739868221447791
Cd_5,0.013938752063537157
Cd_6,0.017849508196791132
Zn_1,-0.005803836825101797
Zn_2,-0.0024445133443234198
Zn_3,0.0064998015387453725
Zn_4,0.024114680436891585
Zn_5,0.03931204794132652
Zn_6,0.04767377868417536
Cu_1,0.003163380039359819
Cu_2,0.011287727040229184
Cu_3,0.0193696137404478
Cu_4,0.029741132322287974
Cu_5,0.040899450841803145
Cu_6,0.05135924983322958
Pb_1,0.002675524357954893
Pb_2,0.01262975009840128
Pb_3,0.02594105253070111
Pb_4,0.0410169869816016
Pb_5,0.057648130670700064
Pb_6,0.07842421901983734
