,A,ArgP
R2,,0.0031707275201100504
xmin,,-7.093290376000001
xmid,,-0.6194671178684289
xmax,,1.1304473350000004
ystart,,-2.318655869831188
yend,,-3.5127781131251026
control__wt_glc__1,0.2103328012882186,-0.04794392199999997
control__wt_glc__2,-0.2103328012882028,0.04794392199999997
fur__wt_dpd__1,-3.245360271185628,-0.031857479999999334
fur__wt_dpd__2,-4.127172358920848,-0.09593788599999976
fur__wt_fe__1,0.5289107883011694,-0.1708370480000001
fur__wt_fe__2,0.0702307381480298,-0.2039828289999992
fur__delfur_dpd__1,-2.803359003681757,-0.014425987000000084
fur__delfur_dpd__2,-2.0769129982253194,-0.2135619680000005
fur__delfur_fe2__1,-0.0486836668974361,-0.12919662399999954
fur__delfur_fe2__2,0.1775894638571151,-0.17488488999999952
acid__wt_ph5__1,-1.84081483411271,0.04626524500000073
acid__wt_ph5__2,-1.7010663182385288,0.0480190269999996
acid__delgadx_ph5__2,-2.0722362270315866,-0.047086883999999614
acid__delgadw_ph5__1,-1.2136339946316046,-0.2208392830000001
acid__delgadw_ph5__2,-1.4405685886072246,0.034122379000000265
acid__delgade_ph5__1,-1.60238791148412,0.09740171000000064
acid__delgade_ph5__2,-1.8009830603142407,0.007859147999998761
oxidative__wt_pq__1,-6.131058444332446,-0.1315203519999999
oxidative__wt_pq__2,-6.431106075606259,-0.17568970700000008
oxidative__deloxyr_pq__1,-6.227455186802017,0.563272789
oxidative__deloxyr_pq__2,-6.455024762770532,0.5286426140000007
oxidative__delsoxr_pq__1,-5.238499663793108,0.1315757460000011
oxidative__delsoxr_pq__2,-5.46000512626348,0.21331835800000046
oxidative__delsoxs_pq__1,-6.250824125071874,0.2724969230000003
oxidative__delsoxs_pq__2,-6.438378121867963,0.3220827690000005
nac_ntrc__wt_csn__1,3.006529708076928,0.2661558500000005
nac_ntrc__wt_csn__2,3.066474212639434,0.34232263
nac_ntrc__wt_cytd__1,1.3617449747942247,-0.02872398399999909
nac_ntrc__wt_cytd__2,1.6151854711081726,0.06946344000000071
