,-0.12971755342396965,-0.11445666478585557,-0.0991957761477415,-0.08393488750962742,-0.06867399887151335,-0.05341311023339927,-0.038152221595285196,-0.02289133295717112,-0.007630444319057045,0.007630444319057045,0.022891332957171107,0.03815222159528517,0.05341311023339926,0.06867399887151335,0.08393488750962741,0.09919577614774147,0.11445666478585556,0.12971755342396965,0.14497844206208374,0.16023933070019777
thresh,-0.07630444319057039,0.07630444319057039,1,,,,,,,,,,,,,,,,,
unreg,2,1,1,1,8,8,38,301,1716,1444,266,64,16,14,6,2,4,2,1,0
unreg_genes,['ABUW_2308' 'ABUW_2314'],['arsR1'],['ABUW_1302'],['ABUW_2391'],[],[],[],[],[],[],[],[],[],[],['rbfA' 'ABUW_4047' 'ABUW_0507' 'ABUW_2703' 'ABUW_3011' 'ABUW_3180'],['ABUW_2433' 'ABUW_3720'],['ABUW_0442' 'folB' 'strA' 'ABUW_0220'],['ABUW_2140' 'mlaB'],['nudH'],[]
