,-0.06282403645215887,-0.04188269096810591,-0.02094134548405295,0.0,0.020941345484052964,0.04188269096810593,0.06282403645215887,0.08376538193621183,0.1047067274202648,0.12564807290431776,0.14658941838837072,0.16753076387242366,0.1884721093564766,0.20941345484052956,0.23035480032458253,0.25129614580863546,0.2722374912926885,0.2931788367767414,0.3141201822607944,0.3350615277448473
thresh,-0.07329470919418535,0.07329470919418535,7,,,,,,,,,,,,,,,,,
unreg,1,25,474,2946,344,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0
RpoS,0,3,43,226,25,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN,0,0,5,59,12,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
NtrC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RpoS and RpoN,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RpoN and NtrC,0,0,3,15,9,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0
"RpoS, RpoN, and NtrC",0,0,1,4,0,0,0,0,1,0,2,3,1,2,2,0,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],['cycA' 'ynfM'],[],[],[],[],[],[],[],[],[],[],[],[]
RpoS_genes,[],['gltD' 'gltB' 'csgC'],"['yqiI' 'yiaG' 'proV' 'gltF' 'ydhW' 'hyaA' 'proW' 'gadW' 'yciG' 'rsmG'
 'epd' 'eno' 'viaA' 'ybiI' 'aidB' 'osmE' 'glk' 'treF' 'ycgZ' 'ydbK' 'hyaB'
 'znuA' 'appY' 'mtn' 'evgS' 'ravA' 'osmF' 'otsB' 'osmY' 'ydhU' 'ynfH'
 'xapA' 'glgS' 'yadV' 'metK' 'speC' 'yhfG' 'sucD' 'fau' 'yihG' 'ymgA'
 'rraA' 'ecnB']","['otsA' 'csgA' 'ynfG' 'evgA' 'insD-5' 'yddG' 'gpmA' 'gadE' 'mdtA' 'proX'
 'mnmG' 'mlrA' 'aceE' 'tam' 'pstS' 'pstC' 'araG' 'ppx' 'puuB' 'araH'
 'yqiH' 'rhaR' 'mdtF' 'pabA' 'ydcS' 'speB' 'mglA' 'fbaA' 'blr' 'sucC'
 'insN' 'ynfF' 'btuF' 'ydhV' 'ydcT' 'pphA' 'nhaA' 'sgrT' 'htrE' 'yciZ'
 'galT' 'mdtB' 'hofM' 'pqiA' 'yabI' 'hdeA' 'sucA' 'bsmA' 'csgG' 'mdtD'
 'sucB' 'yccJ' 'hyaC' 'dps' 'gor' 'yhjG' 'sohB' 'msyB' 'baeS' 'murR'
 'rhaS' 'dmsD' 'gpmM' 'talA' 'yeiL' 'mdtC' 'ynfB' 'cbpA' 'dhaM' 'ydhT'
 'ppk' 'gyrB' 'pstB' 'pgk' 'acs' 'pykA' 'mpl' 'folK' 'aceF' 'ybgA' 'cbpM'
 'phoU' 'csiE' 'appA' 'kbp' 'dkgB' 'ybjP' 'alkA' 'araF' 'elaB' 'yciF'
 'nhaR' 'lpd' 'galK' 'tktB' 'yehY' 'hdeB' 'gapA' 'ynfE' 'yffO' 'yggE'
 'setA' 'dhaL' 'appB' 'hyaF' 'gadB' 'baeR' 'xthA' 'puuC' 'gadC' 'puuE'
 'artQ' 'hyaD' 'frdC' 'fbaB' 'sodC' 'glgC' 'yafO' 'hdeD' 'ydhX' 'pdeC'
 'adhE' 'asr' 'tolC' 'lsrD' 'ydcV' 'artI' 'lsrF' 'osmB' 'pstA' 'pqiC'
 'frdD' 'dgcC' 'fic' 'dhaK' 'dinB' 'mglB' 'katE' 'puuA' 'yadS' 'lsrG'
 'puuD' 'insC-5' 'galE' 'ihfA' 'pcnB' 'csgD' 'csgE' 'yafN' 'cpxR' 'pqiB'
 'luxS' 'lsrB' 'csgB' 'gadA' 'artM' 'pykF' 'artP' 'lsrC' 'ydbD' 'ilvY'
 'phr' 'gadX' 'cpxA' 'envC' 'ydhY' 'pfkA' 'yehW' 'crr' 'ybaT' 'insI-1'
 'wrbA' 'hmp' 'osmC' 'ygiB' 'glsA' 'ftsA' 'mdtE' 'ldcC' 'appC' 'yciT'
 'ftsQ' 'acnA' 'poxB' 'murQ' 'puuR' 'mutS' 'frdA' 'fumC' 'dnaN' 'hofN'
 'csiD' 'ymgC' 'pdhR' 'proP' 'hdfR' 'hofP' 'ada' 'yciE' 'dhaR' 'ariR'
 'galM' 'mglC' 'speG' 'yehX' 'yhiD' 'murP' 'frdB' 'blc' 'rssB' 'topA'
 'uspB' 'recF' 'iraD' 'patD' 'oxyR' 'ydcU' 'bolA' 'ihfB' 'ansP' 'btsT'
 'hyaE' 'yjcH' 'aldB' 'glgP' 'tpiA']","['csrA' 'pdeR' 'yafP' 'dkgA' 'csgF' 'narU' 'ygiC' 'yffP' 'rsd' 'yhiM'
 'rssA' 'yibQ' 'ftsZ' 'glgA' 'lsrA' 'cfa' 'sra' 'lhgO' 'pgi' 'pfkB' 'alkB'
 'ompN' 'hofO' 'hchA' 'ytfK']",['treA' 'ompF' 'fadL' 'gabT'],['gabD' 'gabP'],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoN_genes,[],[],['emrD' 'rtcR' 'hyfH' 'hyfE' 'hyfI'],"['hyfD' 'xdhC' 'acrD' 'htpG' 'hycA' 'hyfG' 'hyfF' 'nikR' 'atoE' 'gltJ'
 'aslB' 'nikE' 'gltK' 'hycE' 'gltL' 'ygfK' 'prpE' 'hyfJ' 'hyfA' 'flhC'
 'hycB' 'hycG' 'flhD' 'fdhF' 'hypE' 'nikC' 'hycC' 'ibpB' 'yhjC' 'fhlA'
 'rhaD' 'ssnA' 'hypA' 'hyfC' 'hyfR' 'hycD' 'hypD' 'gnsA' 'hycF' 'nikD'
 'hyfB' 'hycI' 'atoB' 'focB' 'gltI' 'prpD' 'radD' 'dcuD' 'xdhA' 'xdhB'
 'pspE' 'hypF' 'hypB' 'nikA' 'prpC' 'hypC' 'hycH' 'atoA' 'prpB']","['glpQ' 'atoD' 'yaaU' 'pspA' 'pspC' 'nikB' 'pspG' 'norW' 'yahE' 'norV'
 'pspD' 'hydN']",['zraR' 'rtcA' 'pspB' 'zraS'],['zraP' 'rtcB'],['chaC'],[],[],[],[],[],[],[],[],[],[],[],[]
NtrC_genes,[],[],[],[],[],[],[],[],['cbl'],[],[],[],[],[],[],[],[],[],[],[]
RpoS and RpoN_genes,[],[],['ymjE'],['xapB' 'rpoH' 'puuP'],['actP'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
RpoN and NtrC_genes,[],[],['glnH' 'glnP' 'potG'],"['potF' 'glnQ' 'glnA' 'potH' 'potI' 'hisQ' 'rutC' 'hisM' 'hisJ' 'argT'
 'nac' 'hisP' 'yhdW' 'rutF' 'rutD']",['glnL' 'yhdY' 'yhdX' 'rutG' 'rutB' 'yhdZ' 'rutE' 'ntrC' 'rutA'],['relA'],['yeaH' 'yeaG'],['glnK'],[],['amtB'],[],[],[],[],[],[],[],[],[],[]
"RpoS, RpoN, and NtrC_genes",[],[],['rseD'],['rseC' 'rpoE' 'rseB' 'rseA'],[],[],[],[],['patA'],[],['astE' 'astB'],['ddpF' 'astD' 'ddpC'],['ddpD'],['astA' 'ddpB'],['astC' 'ddpA'],[],['ddpX'],[],[],[]
