,A,RpoS,NtrC,RpoN
R2,,0.3167379731144936,0.17927943817519076,0.1337580556979001
xmin,,-2.4793139040000005,-5.0016790975,-2.3873792415000006
xmid,,0.17546818624619426,0.10790663318537135,
xmax,,3.139938211880993,2.3228636584999998,1.3623595312507586
ystart,,-3.4131599077672807,-0.7115159432031808,-9.966741567243261
yend,,10.019615265673382,21.518305178760276,6.470338902493945
control__wt_glc__1,-0.0914404051676803,-0.049727751000000715,-0.06631495149999989,-0.0046102245000003705
control__wt_glc__2,0.0914404051676457,0.049727751000000715,0.06631495149999989,0.004610224499998594
fur__wt_dpd__1,3.161379038537228,1.6503265020000004,-0.9027221265000004,0.7030172054999984
fur__wt_dpd__2,3.942562185863732,1.6437026919999995,-0.8100453285000002,0.8161369584999996
fur__wt_fe__1,0.6782057573005831,-0.2294725589999995,0.3333157334999992,-0.09844324150000183
fur__wt_fe__2,0.3258639829878628,-0.2717253760000009,0.1918387794999994,-0.014624519500001654
fur__delfur_dpd__1,2.9239663645970757,1.5271957219999999,-0.9745198565000006,0.5910067834999992
fur__delfur_dpd__2,2.647147265325253,1.2385445819999994,-0.9791649365000009,0.7714851734999986
fur__delfur_fe2__1,0.3165987702445358,0.6013075319999999,-0.5153295755,0.15829583549999882
fur__delfur_fe2__2,0.6018135966908705,0.6226109219999998,-0.6166971005000006,0.09519432949999818
acid__wt_ph5__1,0.1159926693153837,0.17730274899999898,-0.03020150050000048,0.15184900549999902
acid__wt_ph5__2,0.1476119101847608,0.18070148099999986,-0.04181230749999987,0.2254091014999986
acid__delgadx_ph5__2,-0.7250506131749986,0.041918445000000304,0.09079596750000007,0.21891853049999987
acid__delgadw_ph5__1,-0.058256646510916,0.13294699599999935,-0.1128848324999998,0.18450770449999965
acid__delgadw_ph5__2,-0.0300770620782797,0.028727889000000676,-0.15206082050000005,0.14576261749999908
acid__delgade_ph5__1,0.3869876666333605,0.245873005,0.00964439349999946,0.1606162704999985
acid__delgade_ph5__2,0.5313340598632705,0.3536770219999994,0.0527451275000006,0.23216701249999794
oxidative__wt_pq__1,4.386198734523486,2.4493267319999994,-0.3496920405000008,0.4468107434999986
oxidative__wt_pq__2,4.23691070171225,2.150239471999999,-0.2896351934999988,0.3896680744999994
oxidative__deloxyr_pq__1,3.2248530725979525,1.9186836320000005,-0.4274229505000005,0.3630092974999979
oxidative__deloxyr_pq__2,3.194504173480783,1.8757188320000004,-0.4273335855000005,0.36022816349999864
oxidative__delsoxr_pq__1,3.270110898742097,2.1746498119999997,-0.4371913215000003,0.4533836634999986
oxidative__delsoxr_pq__2,3.781684801085291,2.132365622,-0.4368724984999988,0.4385974174999987
oxidative__delsoxs_pq__1,4.094213426554264,2.4270615719999995,-0.1740475124999996,0.6504048324999978
oxidative__delsoxs_pq__2,4.127316394584201,2.475274892,-0.08507181550000009,0.6203968144999994
nac_ntrc__wt_csn__1,15.663637266965598,1.849426562,1.0903374364999996,0.3878049414999989
nac_ntrc__wt_csn__2,16.133423327313682,1.8262455620000004,1.1212646784999991,0.3861706294999987
nac_ntrc__wt_cytd__1,18.583502093496776,0.9658633820000002,2.1180870945,0.17801387349999942
nac_ntrc__wt_cytd__2,18.706797912339404,0.8995555819999996,2.1021411325,0.14013047449999938
nac_ntrc__wt_gln__1,20.74872979855364,1.143877011999999,2.2411077535,0.3875584074999985
nac_ntrc__wt_gln__2,20.857657871316643,1.201356272,2.2415717734999987,0.311200883499998
nac_ntrc__bw_delnac_csn__1,16.215499219310455,2.1708239119999995,1.3996019744999997,0.6216542454999985
nac_ntrc__bw_delnac_csn__2,18.48718645138068,2.3634965119999998,1.7068628634999996,0.8497727804999986
nac_ntrc__bw_delnac_cytd__1,19.12958000499448,1.560056101999999,2.034409352500001,0.16361194549999958
nac_ntrc__bw_delnac_cytd__2,19.02376646914256,1.5728261719999992,1.9781382805,0.20669714449999965
