,0
gene_id,BSU_18870
name,yozI
operon,<i>Not Available</i>
gene_product,unknown
COG,No COG category
regulator,<i>Not Available</i>
link,"<a href=""http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU18870"">External Database</a>"
