gene_id,USA300HOU_RS13415
name,<i> Not Available </i>
operon,<i> Not Available </i>
product,hypothetical protein
cog,Function unknown
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN006040000"">AureoWiki</a>"
