,hdfR
Cr_1,0.01064550252193717
Cr_2,0.02045757771444697
Cr_3,0.033227844462984976
Cr_4,0.0435989653043483
Cr_5,0.04662095972608134
Cr_6,0.041018210669971945
Fe_1,-0.009778848497721024
Fe_2,-0.029410620768565692
Fe_3,-0.06117875286597967
Fe_4,-0.09642090278748702
Fe_5,-0.12964848899945422
Fe_6,-0.15447943036971826
Cd_1,0.007371229611182336
Cd_2,0.009953400155639036
Cd_3,0.019473520147979498
Cd_4,0.02502602264236295
Cd_5,0.0252290479681114
Cd_6,0.03749426615830872
Zn_1,-0.04419105152496891
Zn_2,-0.09577803367510368
Zn_3,-0.10744422783650824
Zn_4,-0.09711949283264576
Zn_5,-0.08533438316044632
Zn_6,-0.07987864464329979
Cu_1,-0.01605628027131632
Cu_2,-0.04004837449662031
Cu_3,-0.04470610468075326
Cu_4,-0.03962999434802245
Cu_5,-0.038203439770434784
Cu_6,-0.02793975968169219
Pb_1,0.0025182021850458703
Pb_2,0.005546533630524978
Pb_3,0.011895161865946684
Pb_4,0.016217621487940953
Pb_5,0.016782595973328516
Pb_6,0.015568507651444791
