,aceB
Cr_1,-0.008002112896942023
Cr_2,-0.01889099720677976
Cr_3,-0.02196870991891393
Cr_4,-0.020519378551782944
Cr_5,-0.024276065097163603
Cr_6,-0.028975154571347656
Fe_1,-0.017929660388791492
Fe_2,-0.03577352755110165
Fe_3,-0.04826864996780445
Fe_4,-0.06652392248105522
Fe_5,-0.07680286251323673
Fe_6,-0.0914102928571542
Cd_1,0.0005427971942772601
Cd_2,0.0021537301461917726
Cd_3,0.0018505062228355942
Cd_4,0.0035789661536581095
Cd_5,0.004149918884719057
Cd_6,0.005903278980782553
Zn_1,-0.020153551632464246
Zn_2,-0.03199183069864305
Zn_3,-0.03780459601546682
Zn_4,-0.04224332234251636
Zn_5,-0.042812523849601415
Zn_6,-0.04392031325705496
Cu_1,0.005299123072436916
Cu_2,0.010487162905655429
Cu_3,0.014835229522731475
Cu_4,0.01820414959577382
Cu_5,0.02444668737096472
Cu_6,0.023564220781306457
Pb_1,0.001764060627899036
Pb_2,0.004763893640697007
Pb_3,-0.0008438315799944803
Pb_4,0.002711268640539627
Pb_5,0.0014941913473423766
Pb_6,0.003862022117925933
