,asnA
Cr_1,-0.002299045161671909
Cr_2,-0.004144716923423886
Cr_3,-0.0006996120970676098
Cr_4,0.0055369622333746845
Cr_5,0.0030625009627834212
Cr_6,0.0042286926934406
Fe_1,-0.01244163524151808
Fe_2,-0.02886422702950855
Fe_3,-0.04231330384866999
Fe_4,-0.0566962553006789
Fe_5,-0.06007727836117145
Fe_6,-0.05433255137325088
Cd_1,0.0031929705155650037
Cd_2,0.005340306634301561
Cd_3,0.00840772337839433
Cd_4,0.015943214670828616
Cd_5,0.0137747082526962
Cd_6,0.016264612643517258
Zn_1,0.00257287284082584
Zn_2,0.006762561117018901
Zn_3,0.017328990553023654
Zn_4,0.03095113243931287
Zn_5,0.04568837533099058
Zn_6,0.062047350678218975
Cu_1,0.003287945345930994
Cu_2,0.00015521945074055548
Cu_3,-0.004041858997799754
Cu_4,-0.00307892020774648
Cu_5,-0.003950843594041146
Cu_6,-0.000999558609755834
Pb_1,0.00503621060757745
Pb_2,0.014552382013049052
Pb_3,0.021300147817329883
Pb_4,0.02947182760797783
Pb_5,0.035835355611094535
Pb_6,0.0378840085773147
