,A,CymR
R2,,0.0
xmin,,6.9070302665
xmid,,
xmax,,9.5534924664
ystart,,-1.1497716296481482
yend,,-1.1497716296481482
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,1.034055413,8.0725198423
USA300_LAC_U01-Set001_CAMHB_Control_1,0.23388180300000003,9.1957116223
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,-0.5789971220000001,8.9822112188
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,-0.12421487800000001,9.1279564421
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,-0.789613518,9.2018170414
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,1.185515594,8.0278735945
USA300_LAC_U01-Set001_CAMHB_Control_2,-0.23388180300000003,8.9707285093
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,-1.1395517530000001,9.0598738049
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,-0.313666918,9.1458666363
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,-0.45456639200000004,9.069725485
USA300_TCH1516_U01-Set000_CAMHB_Control_1,-1.414560992,8.9888503588
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,0.7739054940000001,8.3802626941
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,0.658159059,8.7235596222
USA300_LAC_U01-Set001_R10LB_PreCulture_1,-6.098729564,8.4118392298
USA300_LAC_U01-Set001_R10LB_PreCulture_2,-8.62651414,8.2330058572
USA300_LAC_U01-Set001_R10LB_Control_1,-1.6040601090000002,8.6958708639
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,-0.14333884,8.8153458253
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,-0.657487786,8.7273990212
USA300_LAC_U01-Set001_R10LB_Control_2,-0.48614371800000006,8.7702330165
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,-0.157856769,8.8255797404
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,-0.207268964,8.6744457068
USA300_TCH1516_U01-Set000_R10LB_Control_1,3.621339265,8.6516356472
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,5.844069464,8.8444620195
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,5.663806941,8.7629090683
USA300_TCH1516_U01-Set000_R10LB_Control_2,1.192031375,8.6228907674
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,5.605433899,8.984820257199999
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,5.384777742,8.8056228587
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,9.274457171,8.2739121605
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,10.14577187,8.0878140754
USA300_TCH1516_U01-Set000_CAMHB_Control_2,1.414560992,9.0462707832
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,2.408017407,8.9096011212
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,2.962254283,8.7627900603
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,6.696585211,8.6101869938
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,4.569002111,8.772027384
USA300_LAC_U01-Set004_CAMHB_Control_1,-7.435605543,9.1944705119
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,-11.76077478,9.2404762794
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,-12.43327921,9.2058474815
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,-12.03372665,9.3823149802
USA300_LAC_U01-Set004_CAMHB_Control_2,-7.855544249,9.359162269
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,-11.46666309,9.2087383975
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,-11.62269484,9.1884540241
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,-11.44742185,9.5381013497
USA300_LAC_U01-Set004_R10LB_Control_1,-5.153425431,9.1433147319
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,-3.197579562,9.5534924664
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,-4.690828339,9.5318526532
USA300_LAC_U01-Set004_R10LB_Control_2,-4.790878931,9.0357097818
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,-2.393536467,9.3227740921
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,-4.349633125,9.4827006793
USA300_TCH1516_U01-Set003_CAMHB_Control_2,-4.239009372,7.4705550472
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,-4.161672705,7.0256452498
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,-2.122014621,7.4308135173
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,0.7279870460000001,7.7973448159
USA300_TCH1516_U01-Set003_CAMHB_Control_3,-5.120402412,6.9943266599000005
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,-5.931233434,6.9070302665
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,-0.147484796,7.2524032078000005
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,2.303141129,7.4297681047
USA300_LAC_ICA-Set001_R10LB_Control_1,-3.315612382,9.1196172196
USA300_LAC_ICA-Set001_R10LB_Control_2,-2.8455796390000003,9.1113636363
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,-2.582438825,9.0622218901
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,-2.227043014,9.1132555073
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,-5.778402694,9.12227333
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,-6.08908153,9.1637495526
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,-6.309269753,8.5776191698
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,-5.9318121900000005,8.686916761300001
USA300_TCH1516_BK-Set001_THB_Control_1,19.19600071,9.2476838984
USA300_TCH1516_BK-Set001_THB_Control_2,19.82524529,8.9707175594
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,21.72523122,8.1629789864
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,19.95779262,8.0781404433
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,13.39087841,8.9350641538
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,16.60385949,9.2927344803
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,15.65310627,9.2748425169
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,17.16032293,9.1514340612
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,-5.92851311,8.5258016616
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,-5.434752137,8.5781070775
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,-0.25706011700000003,7.8909439019
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,-1.185262737,7.8292240611
USA300_LAC_ICA-Set002_CAMHB_Control_1,-5.481235005,8.4641017449
USA300_LAC_ICA-Set002_CAMHB_Control_2,-1.20252823,8.3198960551
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,-4.506968446,8.125029343
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,-4.743205019,8.0996865735
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,-12.84978315,8.0156444735
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,-13.45025883,7.9332965297
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,0.308765712,8.1713283456
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,2.29986182,8.1162690655
USA300_SNFM1_ICA-Set002_R10LB_Control_1,-7.211103557,8.4355986135
USA300_SNFM1_ICA-Set002_R10LB_Control_2,-6.946268858,8.3986250225
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,-2.454970277,8.4280845724
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,-2.171620741,8.4050045114
USA300_SNFR19_ICA-Set002_R10LB_Control_1,-5.0796809,8.6364492235
USA300_SNFR19_ICA-Set002_R10LB_Control_2,-4.694056346,8.7188820988
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,-1.670294815,8.1629099956
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,1.670294815,8.2375454365
USA300_TCH1516_ICA-Set002_R10LB_Control_1,-16.27356935,7.9522359065
USA300_TCH1516_ICA-Set002_R10LB_Control_2,-17.02425148,8.295006951
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,-19.32054445,8.730251429900001
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,4.032271915,8.2302818126
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,-18.35413537,8.8010593179
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,4.748372022,8.2255958643
USA300_TCH1516_ICA-Set003_250nMParaquat_1,-7.217507623,7.9637341019
USA300_TCH1516_ICA-Set003_250nMParaquat_2,-4.62718254,8.5297245583
USA300_TCH1516_ICA-Set003_2gLGalactose_1,-4.771163272,8.7856389473
USA300_TCH1516_ICA-Set003_2gLGalactose_2,-3.967796216,8.5775910061
