locus,comp,gene_name,product,operon,TF,CymR,link
USA300HOU_RS00915,0.249302987,,hypothetical protein,"tauB,ssuC",CymR,True,
USA300HOU_RS00910,0.245118695,tauB,sulfonate ABC transporter ATP-binding protein,"tauB,ssuC",CymR,True,
USA300HOU_RS00920,0.236787581,ssuC,sulfonate ABC transporter permease,"tauB,ssuC",CymR,True,
USA300HOU_RS00905,0.202880663,srpF,hypothetical protein,srpF,"CymR, CodY",True,
USA300HOU_RS00925,0.138432285,,butyryl-CoA dehydrogenase,,,False,
USA300HOU_RS11010,0.12086641,yeeE,hypothetical protein,"yeeD,yeeE",CymR,True,
USA300HOU_RS11005,0.120185172,yeeD,oxidoreductase,"yeeD,yeeE",,False,
USA300HOU_RS02320,0.113621301,metB,cystathionine gamma-synthase,,CymR,True,
USA300HOU_RS02315,0.109790602,cysK,cysteine synthase,,CymR,True,
