,-0.09408144375,-0.07317445624999999,-0.05226746874999999,-0.03136048124999999,-0.010453493749999987,0.010453493750000015,0.031360481250000016,0.05226746875000002,0.07317445625000002,0.09408144375000002,0.11498843125000002,0.13589541875000002,0.15680240625000003,0.17770939375,0.19861638125000003,0.21952336875000006,0.24043035625000003,0.26133734375,0.28224433125000004,0.30315131875000007
thresh,-0.1045349375,0.1045349375,2,,,,,,,,,,,,,,,,,
unreg,0,1,18,187,1307,1081,185,15,5,0,1,1,0,0,0,0,0,0,0,0
CymR,0,0,0,0,1,2,0,4,3,2,3,0,0,0,1,0,3,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],['yeeD'],['USA300HOU_RS00925'],[],[],[],[],[],[],[],[]
CymR_genes,[],[],[],[],['cysJ'],['cysG' 'luxS'],[],['metQ' 'metn1' 'ydbM' 'cysK'],['USA300HOU_RS02330' 'tcyA' 'tcyC'],['USA300HOU_RS02030' 'oppf3'],['cysK' 'metB' 'yeeE'],[],[],[],['srpF'],[],['ssuC' 'tauB' 'USA300HOU_RS00915'],[],[],[]
