,Value,list
TF,CymR,
reg_genes,19,"['USA300HOU_RS02335' 'USA300HOU_RS13040' 'USA300HOU_RS13050'
 'USA300HOU_RS02030' 'USA300HOU_RS02330' 'USA300HOU_RS02630'
 'USA300HOU_RS14220' 'USA300HOU_RS01050' 'USA300HOU_RS02325'
 'USA300HOU_RS11520' 'USA300HOU_RS12370' 'USA300HOU_RS14215']"
comp_genes,9,['USA300HOU_RS11005' 'USA300HOU_RS00925']
both_genes,7,"['USA300HOU_RS00915' 'USA300HOU_RS00920' 'USA300HOU_RS00910'
 'USA300HOU_RS00905' 'USA300HOU_RS02320' 'USA300HOU_RS11010'
 'USA300HOU_RS02315']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,11,
comp_ops,4,
both_ops,4,
