,glgS
Cr_1,-0.0021219092684390825
Cr_2,0.002034905611503323
Cr_3,0.01791541845986461
Cr_4,0.03807764890942464
Cr_5,0.06041522084296984
Cr_6,0.0764008203147659
Fe_1,-0.02996532305254204
Fe_2,-0.07216024380080545
Fe_3,-0.117056648667776
Fe_4,-0.16269980886167845
Fe_5,-0.1974160684511656
Fe_6,-0.22288631364403164
Cd_1,0.0012053727840530765
Cd_2,0.007810563309201464
Cd_3,0.01156769607530195
Cd_4,0.016935916723749944
Cd_5,0.01941944043754223
Cd_6,0.021930034225119487
Zn_1,-0.006468399876272684
Zn_2,-0.0005682568400908322
Zn_3,-0.0027525575797516465
Zn_4,-0.005284140753346407
Zn_5,-0.00024981567531135417
Zn_6,0.006989367067704478
Cu_1,0.0029216746803998467
Cu_2,0.0049567508532632615
Cu_3,0.008313425372976356
Cu_4,0.01151675227370432
Cu_5,0.01665391260936598
Cu_6,0.02515373680270084
Pb_1,-0.001177074424064613
Pb_2,0.004229446947263564
Pb_3,0.01207055628083386
Pb_4,0.02651808374770017
Pb_5,0.037737203364482316
Pb_6,0.049184592528889175
