,cusC
Cr_1,0.0003288552283423352
Cr_2,-0.002620162642352261
Cr_3,-0.004135579916245928
Cr_4,-0.004344568746868292
Cr_5,-0.005411899914037946
Cr_6,-0.005418874887622389
Fe_1,-0.007298081936820943
Fe_2,-0.01423299942853759
Fe_3,-0.01766820773281257
Fe_4,-0.025948492789932484
Fe_5,-0.02700778589401977
Fe_6,-0.029940752584987712
Cd_1,0.0025710310435498283
Cd_2,0.004629970832180366
Cd_3,0.008189387417516764
Cd_4,0.011651180472177392
Cd_5,0.010011247885287709
Cd_6,0.016955204667409005
Zn_1,-0.00825552460635452
Zn_2,-0.010861881548271543
Zn_3,0.0024981074681313022
Zn_4,0.021342252748551747
Zn_5,0.03297549013808988
Zn_6,0.04419927130808829
Cu_1,0.016822440587278567
Cu_2,0.03376223321736376
Cu_3,0.047008564186314286
Cu_4,0.05540918829181622
Cu_5,0.06258793455668397
Cu_6,0.07619342543565988
Pb_1,0.003658734634292132
Pb_2,0.0018946229849585747
Pb_3,-0.00029368203307200555
Pb_4,-0.014626073373864037
Pb_5,-0.026468477547690043
Pb_6,-0.036037639920118686
