,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,0.41331042042744104,3.0,0.0,-0.3458284739,1.0,-0.1119146654,2.0,0.4577431393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,12.465027941866666,3.3400025254381527,3.0,3.0,14.3259917718,4.0,14.4599907944,5.0,8.6091012594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,20.719119045933333,0.6831854585152146,3.0,6.0,20.4015125368,7.0,21.5032917511,8.0,20.2525528499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-9.523810311813057e-12,3.9400055490816985,21.0,9.0,2.5558795032,10.0,-2.2612179082,11.0,0.2234941362,12.0,3.5255885852,13.0,-1.6973637467,14.0,2.2288608433,15.0,2.7157092751,16.0,4.8683631347,17.0,7.3780652849,18.0,0.5172691854,19.0,1.4942231414,20.0,-3.1167395279,21.0,-1.4489572672,22.0,2.1179101491,23.0,0.10864161100000001,24.0,-3.5400269798,25.0,4.0329568572,26.0,1.0572046956,27.0,-7.0357206875,28.0,-6.3216889482,29.0,-7.4024513370000005
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,6.098294136090477,5.542392247832006,21.0,30.0,10.7704059389,31.0,4.1819062226,32.0,7.6195514316,33.0,9.416834425,34.0,1.0927160707,35.0,7.445295922,36.0,7.8748248281,37.0,11.2119306985,38.0,11.7079675901,39.0,7.4988260435,40.0,8.7673838517,41.0,3.5198600623000003,42.0,5.9170099776,43.0,10.3267323808,44.0,7.1501224352,45.0,3.1112523574,46.0,16.3154495246,47.0,7.6472651866,48.0,-4.1435074402,49.0,-4.790332364,50.0,-4.5773182851000005
5,WT_vs_Del_ccpA__THY_None_WT_exponential,0.0,0.5381859420809812,3.0,51.0,-0.37414090920000004,52.0,0.6167890175,53.0,-0.2426481083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,2.6872517824,1.2098884358985054,4.0,54.0,4.3453748284,55.0,2.7007078432,56.0,1.5015703703,57.0,2.2013540877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,0.0,0.9653087416299772,4.0,58.0,0.5316372054,59.0,-0.8565988913,60.0,1.0915295695,61.0,-0.7665678836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-5.066058030000001,0.3699308185047586,4.0,62.0,-5.0559498467,63.0,-4.8468072659,64.0,-4.7708164167,65.0,-5.5906585907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-2.894171732975,2.765838387322159,4.0,66.0,1.0874481018,67.0,-3.2685720374000002,68.0,-4.2233884714,69.0,-5.1721745249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,2.555297655475,1.6719101727969703,4.0,70.0,2.9662426277,71.0,4.5144266189,72.0,2.2563091011,73.0,0.4842122742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,-7.401486830834377e-17,1.1772475803301947,6.0,74.0,-1.0596649487,75.0,-0.0985860138,76.0,-0.34207502170000004,86.0,0.0662224577,88.0,-0.8072879503,90.0,2.2413914768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
