,A,Rv1776c,whiB4
R2,,0.07901309475585505,0.02665868922351433
xmin,,-4.0053163404,-2.8338575925000002
xmid,,-2.2114926615570316,-0.8816503937288696
xmax,,2.9926371777,2.9839660519
ystart,,-3.0094304805561682,2.4500016954588597
yend,,7.1145054032932835,-3.5442041143079273
AX:AX_10_MIC:1,-3.574916096,0.4562606302,0.23128037340000002
AX:AX_10_MIC:2,-3.4155530027,0.3429211515,0.3081656839
AX:AX_30_MIC:1,-3.4002778378,0.4796383482,0.1287653623
AX:AX_30_MIC:2,-1.8632542214,0.29673076200000004,0.3142531538
AX:QZ_10_MIC:1,-3.5571444402,0.4180682241,0.2309327669
AX:QZ_10_MIC:2,-2.5072826542,0.27867191680000003,0.2738506978
AX:QZ_30_MIC:1,-2.9461352582,0.562271089,0.0797832341
AX:QZ_30_MIC:2,-3.3077540258,0.3284921959,0.10801114090000001
AX:wt:1,0.5507672946000001,0.0812570353,0.1309597076
AX:wt:2,-0.5507672946000001,-0.0812570353,-0.1309597076
ITM_04:00h_clinic_ctrl:1,1.2453155249,-0.18787955990000002,-0.0549835069
ITM_04:00h_clinic_ctrl:2,1.0718229834,-0.2255917912,-0.17211430590000001
ITM_04:00h_h37rv_control:1,0.0810591437,-0.0884106711,-0.0978090488
ITM_04:00h_h37rv_control:2,0.0942807296,0.0042296459000000005,-0.0269096698
ITM_04:00h_h37rv_control:3,-0.1753398733,0.0841810253,0.1247187186
ITM_04:06h_clinic_delam:1,-3.3899866481,1.1711430873,-0.7631591471
ITM_04:06h_clinic_delam:2,-3.4042877673,1.1439911768,-0.8938424622000001
ITM_04:06h_clinic_delam:3,-2.6193987629,1.3366961018,-0.6334991198000001
ITM_04:06h_clinic_DMSO:1,-5.9879712116,-0.2098960469,-0.438156111
ITM_04:06h_clinic_DMSO:2,-5.8598114666,-0.0650683724,-0.278265505
ITM_04:06h_clinic_DMSO:3,-5.9168836361,-0.0691405606,-0.4577993011
ITM_04:06h_h37rv_delam:1,-3.119307983,1.5769642157,-0.24567028130000002
ITM_04:06h_h37rv_delam:2,-2.3579739038,1.694816496,-0.38611053160000003
ITM_04:06h_h37rv_delam:3,-3.0110716157,1.5813833339,-0.3013259803
ITM_04:06h_h37rv_DMSO:1,-4.3532701677,-0.1270944907,-0.6180494082
ITM_04:06h_h37rv_DMSO:2,-4.2331779103,-0.08635452960000001,-0.33819380330000004
ITM_04:06h_h37rv_DMSO:3,-3.9768928372000003,0.0854312745,-0.1647550437
ITM_04:24h_clinic_delam:1,-7.5299649417,0.7758733158000001,-0.3908796975
ITM_04:24h_clinic_delam:2,-8.1737239329,0.6377300919000001,-0.28630188300000003
ITM_04:24h_clinic_delam:3,-7.6479649486,0.31879068180000003,-0.6136113873
ITM_04:24h_clinic_DMSO:1,-10.9341010785,-0.0501737214,-0.0752368971
ITM_04:24h_clinic_DMSO:2,-11.1265303626,-0.1657575741,-0.28406142830000003
ITM_04:24h_clinic_DMSO:3,-11.1902413339,-0.2306580474,-0.14462835470000002
ITM_04:24h_h37rv_delam:1,-9.8332957956,1.0375136818,-0.1907200533
ITM_04:24h_h37rv_delam:2,-8.2525260713,1.147255723,-0.1783513531
ITM_04:24h_h37rv_delam:3,-9.368373598,1.2043790733,-0.115649445
ITM_04:24h_h37rv_DMSO:1,-9.5719783979,-0.4090523331,-0.2928373435
ITM_04:24h_h37rv_DMSO:2,-9.4929204694,-0.40869503560000003,-0.3320693128
JSF:DMSO:1,0.3660432777,-0.14376263720000002,-0.1376215524
JSF:DMSO:2,-0.0887547519,0.0255209263,0.0470967378
JSF:DMSO:3,-0.032409613000000004,0.10155207270000001,0.0002360691
JSF:DMSO:4,-0.24487891280000001,0.0166896382,0.0902887455
JSF:JSF_2019:1,9.8815220357,0.3672457038,-1.0699971448
