,flgM
Cr_1,0.00353773954692181
Cr_2,0.008630235574028255
Cr_3,0.01695532470436448
Cr_4,0.025015402280703543
Cr_5,0.03228948037406048
Cr_6,0.035612930676078736
Fe_1,-0.0005622679338521821
Fe_2,-0.015054525646017674
Fe_3,-0.030076983805945992
Fe_4,-0.048920570106545436
Fe_5,-0.07206387389916924
Fe_6,-0.07961531474869282
Cd_1,-0.010567170430839531
Cd_2,-0.025997340720277942
Cd_3,-0.04104249432566702
Cd_4,-0.05218934345341214
Cd_5,-0.06313296502933942
Cd_6,-0.06210214429676825
Zn_1,-6.584543184435611e-05
Zn_2,-0.002820957083157679
Zn_3,-8.286099114129702e-05
Zn_4,0.007836373759598371
Zn_5,0.015610722389305316
Zn_6,0.028738160693259813
Cu_1,0.0016574188542388373
Cu_2,0.002575486517609997
Cu_3,0.009423423854791672
Cu_4,0.01450004821734783
Cu_5,0.022001247919415
Cu_6,0.03146682520654572
Pb_1,0.0038336568751660563
Pb_2,0.005495977955727214
Pb_3,0.014109940583089103
Pb_4,0.016137001720743373
Pb_5,0.028701669216931038
Pb_6,0.03322425133378807
