,yacG
Cr_1,0.004257160884567761
Cr_2,0.008469718866740163
Cr_3,0.013820207270227891
Cr_4,0.01822271035941885
Cr_5,0.022588899263556648
Cr_6,0.02501798192090964
Fe_1,-0.007220749363625437
Fe_2,-0.02852610127862793
Fe_3,-0.0661358778104091
Fe_4,-0.11157016619150807
Fe_5,-0.15363430877050416
Fe_6,-0.18674297549254185
Cd_1,0.0031270253220865725
Cd_2,0.0038371478701578563
Cd_3,0.0077248121929304765
Cd_4,0.011048550292907678
Cd_5,0.01133310886053644
Cd_6,0.0171010228513141
Zn_1,-0.0018886309086715227
Zn_2,-0.001966343241576586
Zn_3,-0.00041368103406876
Zn_4,0.006742905028509293
Zn_5,0.0076407800735987345
Zn_6,0.01752133475661658
Cu_1,-0.0007914763795518518
Cu_2,-0.004412290793399828
Cu_3,-0.0014563372515757074
Cu_4,0.00036463956237778653
Cu_5,0.005060823731825914
Cu_6,0.013458469476348987
Pb_1,0.0020175073289847322
Pb_2,0.006374839896914253
Pb_3,0.012135051935916723
Pb_4,0.01957933491764497
Pb_5,0.028023801118058862
Pb_6,0.03130642027379691
