,asd
Cr_1,0.0033404290224826787
Cr_2,0.004909984382182982
Cr_3,0.001449089005478491
Cr_4,0.005061278849809985
Cr_5,0.010370770793543064
Cr_6,0.009570836532015065
Fe_1,-0.055486513696196414
Fe_2,-0.1056171452855067
Fe_3,-0.15401774695668247
Fe_4,-0.2400145292078757
Fe_5,-0.2935248555632631
Fe_6,-0.3806496914387841
Cd_1,-0.04744895475926887
Cd_2,0.09729946728920927
Cd_3,0.3682807733883128
Cd_4,0.1550478377297037
Cd_5,0.10203749901450804
Cd_6,0.0680005223831697
Zn_1,-0.004325605323674531
Zn_2,-0.02607473611056128
Zn_3,-0.012093551725028285
Zn_4,-0.06827642328540984
Zn_5,0.001958977381103713
Zn_6,0.003701153454286889
Cu_1,-0.003972992394256837
Cu_2,-0.006053626179634053
Cu_3,-0.008395817921960314
Cu_4,-0.011194743947202856
Cu_5,-0.014141844319756947
Cu_6,-0.01482847089086459
Pb_1,-0.019386413599005718
Pb_2,0.008287695861512005
Pb_3,-0.015950477548935183
Pb_4,-0.0030221689875804102
Pb_5,-0.030827964263866237
Pb_6,-0.033713807568619615
