,yciT
Cr_1,-0.0029017394633107
Cr_2,-0.003054124249901074
Cr_3,0.003762911583797361
Cr_4,0.004367082831833857
Cr_5,-0.000364846146186251
Cr_6,-0.007534538686566341
Fe_1,-0.02270196594453959
Fe_2,-0.05054490281174207
Fe_3,-0.08107069141070433
Fe_4,-0.1157991242363973
Fe_5,-0.1331573474833432
Fe_6,-0.1368026861709609
Cd_1,0.0021971486547331482
Cd_2,0.009401771310214278
Cd_3,0.020278712970797988
Cd_4,0.027388143198289437
Cd_5,0.029329111562730874
Cd_6,0.03802241185567348
Zn_1,0.023591886898651656
Zn_2,0.021077941480970967
Zn_3,-0.016213308660789447
Zn_4,-0.03550911776024096
Zn_5,-0.04912626315566297
Zn_6,-0.054007499959239695
Cu_1,0.004900219999830586
Cu_2,0.0077145917801854985
Cu_3,0.007823049900453061
Cu_4,0.009149872206520205
Cu_5,0.011381758628186512
Cu_6,0.01648625941508204
Pb_1,0.0028662741275755628
Pb_2,0.008705407892872398
Pb_3,0.01247565768837368
Pb_4,0.01774067445104315
Pb_5,0.024232230115901744
Pb_6,0.036941598134555734
