,nanT
Cr_1,-0.000736780270292428
Cr_2,0.004147011567928277
Cr_3,0.012299709407342176
Cr_4,0.027822989232465317
Cr_5,0.04381104442423996
Cr_6,0.05341522551739978
Fe_1,-0.010529742051423341
Fe_2,-0.04007053433378791
Fe_3,-0.08836279963406257
Fe_4,-0.1515333280079583
Fe_5,-0.2206513076035152
Fe_6,-0.27828164591420634
Cd_1,-0.008028008343920746
Cd_2,-0.01175938326923614
Cd_3,-0.007565929669954712
Cd_4,-0.004702009102281321
Cd_5,-0.004575030165550083
Cd_6,0.002165734224207763
Zn_1,-0.01082364229634218
Zn_2,-0.003173055109980151
Zn_3,0.019234740796945645
Zn_4,0.023605924838186004
Zn_5,0.01774233972628773
Zn_6,0.01902108690229833
Cu_1,0.012588560888848684
Cu_2,0.026320111128087447
Cu_3,0.038271000206691136
Cu_4,0.04631609058963157
Cu_5,0.054333498354025636
Cu_6,0.0647468247898068
Pb_1,-0.0015795648594474966
Pb_2,-0.004460120148162589
Pb_3,-0.0011747833758275336
Pb_4,0.0011285183641547786
Pb_5,0.007493552702870106
Pb_6,0.01576137599437404
