,mfd
Cr_1,0.0060951530174712465
Cr_2,0.020086183541532184
Cr_3,0.013407955867514722
Cr_4,8.82085656088843e-05
Cr_5,0.00994081702268117
Cr_6,-0.003262150786236709
Fe_1,-0.0075615140752503095
Fe_2,-0.004739575706137029
Fe_3,0.010872006339091243
Fe_4,0.017853084945252246
Fe_5,0.026361737446732918
Fe_6,0.023032150666337084
Cd_1,0.0305489221521572
Cd_2,0.07465923912837377
Cd_3,0.12688285074197853
Cd_4,0.1696969795249619
Cd_5,0.2032764622866095
Cd_6,0.23918185535966716
Zn_1,0.0004309545154955477
Zn_2,-0.005916312868051821
Zn_3,0.013600162576927609
Zn_4,0.01982795659332488
Zn_5,0.00030304274485579966
Zn_6,0.013486085456987387
Cu_1,0.008708515917071141
Cu_2,0.013046359114409559
Cu_3,0.013937408388958714
Cu_4,0.01089633570949336
Cu_5,0.009056408118523105
Cu_6,0.015029130873233357
Pb_1,0.012690025449833468
Pb_2,0.01761443427812663
Pb_3,0.0206242011993599
Pb_4,0.02955583007362607
Pb_5,0.04632124111678783
Pb_6,0.054983822327162715
