,A,ricR
R2,,0.5800096980021099
xmin,,-3.1308271506
xmid,,-2.585205476560273
xmax,,3.0603787899
ystart,,-11.964296429147495
yend,,16.338090792251684
AX:AX_10_MIC:1,-4.4066528586,-0.4366587921
AX:AX_10_MIC:2,-4.3176372823,0.21442425310000002
AX:AX_30_MIC:1,-5.3579100492,-0.0374219789
AX:AX_30_MIC:2,-5.7457061622,0.22579717500000002
AX:QZ_10_MIC:1,-4.6736436427,-0.280976014
AX:QZ_10_MIC:2,-5.2594528428,0.2147512725
AX:QZ_30_MIC:1,-5.6110524886,-0.2094931925
AX:QZ_30_MIC:2,-4.9513151093,-0.4021448311
AX:wt:1,1.9748805809,0.2351097526
AX:wt:2,-1.9748805809,-0.2351097526
ITM_04:00h_clinic_ctrl:1,-4.3435903808,-0.3546932486
ITM_04:00h_clinic_ctrl:2,-3.7970264276,-0.53635183
ITM_04:00h_h37rv_control:1,0.3954435951,0.1193228102
ITM_04:00h_h37rv_control:2,0.3311181635,0.1180383559
ITM_04:00h_h37rv_control:3,-0.7265617586,-0.23736116610000002
ITM_04:06h_clinic_delam:1,-2.8193158151,0.0833955135
ITM_04:06h_clinic_delam:2,-2.5637930022,0.1659011436
ITM_04:06h_clinic_delam:3,-2.4319001497,0.3818782718
ITM_04:06h_clinic_DMSO:1,-4.9458995887,-0.2866993816
ITM_04:06h_clinic_DMSO:2,-4.9526204867,-0.0796083851
ITM_04:06h_clinic_DMSO:3,-5.1626582914,-0.19758315880000002
ITM_04:06h_h37rv_delam:1,-2.2467445585,0.6594485336
ITM_04:06h_h37rv_delam:2,-1.4252271002,0.4644893909
ITM_04:06h_h37rv_delam:3,-0.6658698919,0.5801951029
ITM_04:06h_h37rv_DMSO:1,-2.3882002011,-0.16517770950000002
ITM_04:06h_h37rv_DMSO:2,-2.8216248953000003,-0.28046397630000003
ITM_04:06h_h37rv_DMSO:3,-1.8381732254,0.0194930097
ITM_04:24h_clinic_delam:1,-2.0800160997,-0.0715047801
ITM_04:24h_clinic_delam:2,-1.9189301591,-0.033083699200000004
ITM_04:24h_clinic_delam:3,-1.8326066267,-0.3113660566
ITM_04:24h_clinic_DMSO:1,-8.9779285833,-0.9416378933
ITM_04:24h_clinic_DMSO:2,-9.484090853,-0.8595260299
ITM_04:24h_clinic_DMSO:3,-8.907962134,-0.6997861546
ITM_04:24h_h37rv_delam:1,-2.2190853678,0.1744391102
ITM_04:24h_h37rv_delam:2,-1.9326581267,0.2276924378
ITM_04:24h_h37rv_delam:3,-2.1627670419,0.3725728049
ITM_04:24h_h37rv_DMSO:1,-7.8811933165,-0.7367868665
ITM_04:24h_h37rv_DMSO:2,-7.982113486,-1.1410402477
JSF:DMSO:1,-0.1788210724,-0.0655208944
JSF:DMSO:2,-0.1500120556,0.045152103000000006
JSF:DMSO:3,0.17895888440000002,-0.0423604361
JSF:DMSO:4,0.1498742437,0.0627292275
JSF:JSF_2019:1,7.1514287651,2.5892169693
JSF:JSF_2019:2,7.7156109085,2.8300402602
JSF:JSF_2019:3,7.0637411091,2.4874191045
JSF:JSF_2019:4,7.0052084277,2.5090360358
JSF:JSF_2026:1,8.1877980845,2.0119186974
JSF:JSF_2026:2,7.8874892788,1.9803992477
JSF:JSF_2026:3,7.7900742791,1.9066385391
JSF:JSF_2026:4,8.0739986631,2.0178397891
MTS1338:over_expression:1,1.2615299528000001,-0.47567691230000003
MTS1338:over_expression:2,-1.2615299528000001,0.47567691230000003
PAS:control:1,-0.06524110550000001,0.0210545158
PAS:control:2,-0.4349709156,-0.008387575100000001
PAS:control:3,0.5002120211000001,-0.0126669408
PAS:treated:1,4.8762602356,0.8106545202000001
PAS:treated:2,4.5033776286,0.9718716916000001
PAS:treated:3,4.9086153774,0.9376448909
THP-1:24h_THP_B_enriched:1,-1.1580428239,-0.0929071284
THP-1:24h_THP_B_enriched:2,1.1580428239,0.0929071284
aminoimidazoles:02h_treated:1,-1.3429238555,0.3126165871
aminoimidazoles:02h_treated:2,-1.1288465838,0.1595802143
aminoimidazoles:24h_treated:1,2.842017534,0.9781773868
aminoimidazoles:24h_treated:2,3.1538929082,0.5543270645
aminoimidazoles:untreated:1,-0.1044055163,0.0202052147
aminoimidazoles:untreated:2,0.0764323882,0.11574773420000001
aminoimidazoles:untreated:3,0.0279731281,-0.1359529488
antibiotic:ctrl_24h:1,-0.0139668571,-0.32730149810000003
antibiotic:ctrl_24h:2,-0.544037459,-0.2223659027
antibiotic:ctrl_24h:3,0.28344553310000004,-0.3814179767
antibiotic:ctrl_4h:1,0.3357338721,-0.1181746065
antibiotic:ctrl_4h:2,-0.3784510343,0.09201884540000001
antibiotic:ctrl_4h:3,0.0427171622,0.0261557611
antibiotic:izd_4h:1,-15.4001799568,-1.6369840608000001
antibiotic:izd_4h:2,-14.5483187104,-1.8977911834999999
base:wt_glu_24:1,-1.1260793414,0.17098987200000001
base:wt_glu_24:2,-1.5081764289000001,-0.0080063281
base:wt_glu_24:3,-0.3967230048,-0.06366180760000001
base:wt_glu_6:1,-0.6789763913,0.0957644436
base:wt_glu_6:2,0.4430398759,-0.0242579801
base:wt_glu_6:3,0.23593651540000002,-0.0715064635
base:wt_llac_24:1,-1.58171843,-0.12923679200000002
base:wt_llac_24:2,-2.4811341685,0.0520322843
base:wt_llac_24:3,0.2866009644,-0.0747554395
base:wt_llac_6:1,1.3711771127999999,0.1987276453
base:wt_llac_6:2,2.4440109926,-0.0892671559
base:wt_llac_6:3,1.1148747882,-0.0215567835
base:wt_pyr_24:1,-1.1858295845,0.2848147377
