,A,KdpE
R2,,0.2221407273174778
xmin,,-4.594535039
xmid,,-3.5437383454989204
xmax,,4.651902197
ystart,,-2.824755033202008
yend,,4.759104200117209
aat__00m_00s__1,0.5778727096,0.35807315300000003
aat__00m_30s__1,0.06672316390000001,0.2118034662
aat__01m_00s__1,0.6900620603000001,-0.054979117
aat__02m_00s__1,-0.0560406353,0.0951925988
aat__05m_00s__1,-1.7017448247,0.22793841880000001
aat__10m_00s__1,-1.6661803344,0.0196894221
aat__00m_00s__2,-0.4913584187,-0.0359813306
aat__00m_30s__2,0.33043338040000003,0.2900931771
aat__01m_00s__2,0.1086494186,0.0548917334
aat__02m_00s__2,-1.0141051819,-0.0793935578
aat__05m_00s__2,-2.1486423233,0.3006517436
aat__10m_00s__2,-1.578517514,0.3131824823
aat__00m_00s__3,-0.0865142909,-0.3220918224
aat__00m_30s__3,0.5442879148,0.0412067422
aat__01m_00s__3,0.6116659524,0.0084288051
aat__02m_00s__3,-0.48787680910000003,0.1412183952
aat__05m_00s__3,-2.263681307,0.0854553567
aat__10m_00s__3,-1.8416337509,0.334140788
abx_mega__dmso-2__1,0.8178146546,-0.26868771
abx_mega__ery_dmso__1,1.8609046853,-0.1593485808
abx_mega__nal_naoh__1,2.512135756,0.30588156050000004
abx_mega__dmso-5__1,-0.7932582651000001,-0.4943135677
abx_mega__rif_dmso__1,2.2846561960000003,0.7282545108
abx_mega__novo_h2o__1,2.4232396951,0.5182764747
abx_mega__rach_dmso__1,0.1454509215,-0.3510983626
abx_mega__metro_dmso__1,0.9318640236,0.5850292169
abx_mega__dmso-6__1,-0.21260254150000002,0.2757269755
abx_mega__chl_h2o__1,0.8471942368000001,0.4759154963
abx_mega__cst_h2o__1,-0.8791055858,-0.12546514450000001
abx_mega__tec_h2o__1,1.4372439374,1.0681938247
abx_mega__str_h2o__1,0.2006634891,-0.17666677960000002
abx_mega__ctx_h2o__1,0.9743209243000001,0.6024497927
abx_mega__nal_naoh__2,-1.2538481759,-0.6988564838
abx_mega__phos_h2o__1,-0.796989197,-0.2497375296
abx_mega__dmso-5__2,-0.4448683782,0.0631612648
abx_mega__polmyx_h2o__1,-0.3400351994,0.3641007432
abx_mega__h2o-8b__1,-0.6724737412,-0.169012885
abx_mega__h2o-6__1,-0.1224567767,0.17898756640000002
abx_mega__thio_dmso__1,1.3859093067,0.0333971756
abx_mega__phos_h2o__2,-0.6306956364,0.155555358
abx_mega__ctx_h2o__2,0.9672780789000001,-0.0886047362
abx_mega__lzd_dmso__1,1.0221862022,0.043665324400000004
abx_mega__naoh-9__1,-0.5692584654,0.07683460810000001
abx_mega__dox_dmso__1,-0.343336142,-0.39539484010000003
abx_mega__phos_ethanol__1,-0.8983236202,0.0375271976
abx_mega__teix_dmso__1,0.8049889691000001,0.24535157770000002
abx_mega__dmso-10__1,-0.14584552180000002,0.7063672469000001
abx_mega__van_dmso__1,0.7998443347,-1.06600535
abx_mega__ramo_h2o__1,-0.9889182502,0.1174477649
abx_mega__tec_h2o__2,-0.5094430612,-0.24497299500000003
abx_mega__h2o-7__1,0.010800043,0.23665301160000002
abx_mega__cro_h2o__1,0.3015764595,-0.22555415040000001
abx_mega__tric_ethanol__1,1.2047254418,0.7326979972000001
abx_mega__nor_naoh__1,-0.5088948597,-0.3319099554
abx_mega__teix_dmso__2,0.410030589,-0.0287333655
abx_mega__nal_naoh__3,-0.8424766402,-0.2965449133
abx_mega__novo_h2o__2,2.2636396266,0.3206210216
abx_mega__dmso-10__2,-0.3343314243,0.23152243050000001
abx_mega__phos_h2o__3,-1.1048938399,-0.0241604495
abx_mega__dmso-6__2,0.8185499969000001,-0.0701533693
abx_mega__rfp_ethanol__1,3.858565439,0.7595097845000001
abx_mega__dmso-5__3,0.2413988775,0.4263907766
abx_mega__amyc-d_dmso__1,1.6346955025,-1.1913491089
abx_mega__sxt_dmso__1,0.58058087,0.2359462522
abx_mega__dmso-1__1,-1.6806152758000001,-0.6909118192
abx_mega__pen_h2o__1,-0.646849662,-0.8085856086000001
