,A,NtrC,RpoN
R2,,0.2683078216203313,0.012188411428788348
xmin,,-5.0016790975,-2.3873792415
xmid,,0.7289264274401466,-0.046770860627010274
xmax,,3.6263915463,1.8751403472
ystart,,-0.1262896018169739,0.0779878430918121
yend,,23.263991059624907,3.0133323389687683
SRX1125282,1.0953779986,0.0592910135,-0.1868415971
SRX1125283,0.2553594,-0.424825732,-0.20162633530000001
SRX1125284,-0.6905627612,-0.0994417377,-0.1942665755
SRX1125285,0.2221476527,-0.1519072109,-0.1859665862
SRX1125286,0.1621878703,-0.3824087766,-0.1681106608
SRX1125287,0.43963096690000003,-0.448447001,-0.3706350145
SRX1125288,-1.4940354036,-0.1184629314,0.3031607257
SRX1125289,-1.2228480282,0.1590714269,0.039643016600000004
SRX1125290,0.40953067130000004,0.1223935872,-0.0013643723
SRX1125291,-0.9238961087,0.9967064014,-0.0414927971
SRX1125292,0.1429310865,-0.7361129937,-0.0746450885
SRX1125293,1.2472956642,-0.6405521565,-0.23586419190000002
SRX1125294,0.398657405,0.0591719178,-0.1163191286
SRX1125295,-0.14039605100000002,-0.2093034258,-0.0736221406
SRX1125296,-0.0481767592,-0.2268632747,-0.17730413120000002
SRX1125297,0.1117673203,0.0409081286,0.020768331
SRX1125298,1.5575333178,-0.6022708777,-0.0944720948
SRX1125299,0.5486648749,-0.6028329505000001,-0.2044310802
SRX5694250,-0.7191056341000001,-0.1115697667,1.436026237
SRX5694251,1.8134388675,-1.7993250065000002,-0.4394529035
SRX5694252,0.5012049298,0.8448972578,0.8772278743
SRX5694253,0.6390947827,0.2475318243,0.48399777580000003
SRX5694254,4.3046351669,0.8994530527,0.5157631166000001
SRX5694255,3.8485607969,-3.3432007434,-0.47626519900000003
SRX5694256,-1.1570088592,0.7452309176,0.2802484757
SRX5694257,-0.6648633076,0.1982681888,0.5245333254
SRX5694258,-0.7595501812000001,0.3183510645,0.6253545409
SRX5694259,1.1050617003,-2.1655067332,-1.1569223535
SRX5694260,-0.3688786804,0.5621982431,0.47138731170000003
SRX5694261,2.0973704782,0.6286643575,1.1163565781
SRX5694262,-0.6841954694,-1.5043904156,1.0148136427
SRX5694263,1.148043153,0.5145998028000001,0.17737386800000002
SRX5694264,-0.2415474225,0.7579620619,0.29679740990000003
SRX5694265,1.1932077417,0.8072916207,0.0454729513
SRX5694267,1.0393913753,0.2591828654,0.3122538416
SRX5694268,0.6918034573,0.5839353238,0.2227196066
SRX5694269,0.2533616296,0.5927965196,0.5063994107
SRX5694271,0.10845987210000001,0.16968930270000002,0.3051735166
SRX5694273,2.1475394107,-1.84200958,-0.5165923039
SRX5694274,0.3091576646,0.452291645,0.2233186073
SRX5694275,1.8012684949,1.167500488,0.29327006640000003
SRX5694276,1.4299086622,-2.3275242281,-0.4751825277
SRX5694277,0.5462715932000001,1.0006758113,0.7141301084
SRX5694278,1.0983189027,-1.9103520652000001,-0.1250149644
SRX5694279,-0.47334214160000004,0.2878034512,0.1832669966
SRX5694280,-0.0536925949,0.1658886605,0.24005400300000002
SRX5694281,-0.2499647787,0.5748562228,0.46972722450000004
