,yghU
Cr_1,0.00028293443373414304
Cr_2,0.002656404235785996
Cr_3,0.009969993184668778
Cr_4,0.014869255990790385
Cr_5,0.022581603076365284
Cr_6,0.02701343705280814
Fe_1,-0.0035666784802073775
Fe_2,-0.01634967275162353
Fe_3,-0.02913433485794485
Fe_4,-0.05077163386330056
Fe_5,-0.0660270919884485
Fe_6,-0.07170441842056187
Cd_1,0.0013885836755240881
Cd_2,0.005488077052459364
Cd_3,0.010167835327678265
Cd_4,0.0120965848647881
Cd_5,0.007357092621884281
Cd_6,0.0073520668311662825
Zn_1,-0.00030818586860308994
Zn_2,-0.0002947887859384198
Zn_3,0.003324215812960041
Zn_4,0.008460179682997193
Zn_5,0.00987781813059102
Zn_6,0.00819087891534517
Cu_1,0.006309286812295086
Cu_2,0.015098956334173769
Cu_3,0.015365977690056296
Cu_4,0.01746741017962143
Cu_5,0.02521801032249986
Cu_6,0.0350495611294049
Pb_1,0.009024400860782992
Pb_2,0.025488016566377558
Pb_3,0.037347007233581454
Pb_4,0.049204894131202916
Pb_5,0.06366101019874815
Pb_6,0.08025039284912126
