,ligT
Cr_1,-0.006368475960400711
Cr_2,-0.012513168598096373
Cr_3,-0.018698301731012886
Cr_4,-0.023224276034156957
Cr_5,-0.02820698003667616
Cr_6,-0.034563887420736635
Fe_1,-0.0041746083058570565
Fe_2,-0.01431239707711285
Fe_3,-0.02553291036443912
Fe_4,-0.03859512037389118
Fe_5,-0.047975232902101685
Fe_6,-0.05754529173384626
Cd_1,0.016750633671750764
Cd_2,0.035465581938062124
Cd_3,0.05519408923065869
Cd_4,0.07669913480260362
Cd_5,0.09554955718282067
Cd_6,0.1189740298987239
Zn_1,0.0008577836987459184
Zn_2,0.005704466948503821
Zn_3,0.01954805067321184
Zn_4,0.03789730179826964
Zn_5,0.05561391395325147
Zn_6,0.0724933469413536
Cu_1,0.00250109480334075
Cu_2,0.004587641809341057
Cu_3,0.009703476215517995
Cu_4,0.0164907697596998
Cu_5,0.02136812503900048
Cu_6,0.02810537735752932
Pb_1,0.006779709482117639
Pb_2,0.014014183044266116
Pb_3,0.02254957900541255
Pb_4,0.03457004064819578
Pb_5,0.04838467896585312
Pb_6,0.058594208908733784
