,gnd
Cr_1,-0.003756089116219965
Cr_2,-0.004821128219266322
Cr_3,-0.0014465540787673911
Cr_4,0.003738394143351263
Cr_5,0.003205831074826093
Cr_6,0.007765139259313284
Fe_1,-0.04221940652833714
Fe_2,-0.10696380647032483
Fe_3,-0.16981627319470585
Fe_4,-0.03687913728431269
Fe_5,-0.08077093960833959
Fe_6,-0.10941219730049404
Cd_1,0.0021645666257076057
Cd_2,0.002347970301908213
Cd_3,0.005216881414557332
Cd_4,0.0114862788377139
Cd_5,0.008726371274873277
Cd_6,0.0050503865109034545
Zn_1,0.005940372738588146
Zn_2,0.010920250666320462
Zn_3,0.01886718981742859
Zn_4,0.02340241240323172
Zn_5,0.021248933779400184
Zn_6,0.02041497360221965
Cu_1,0.0061662010997521185
Cu_2,0.01432086841185894
Cu_3,0.01925666219694515
Cu_4,0.023627110446695156
Cu_5,0.02919349545737928
Cu_6,0.03785263867697557
Pb_1,0.008047341761846261
Pb_2,0.0094497304093108
Pb_3,0.010640692834793712
Pb_4,0.013667752625830459
Pb_5,0.024988434312251576
Pb_6,0.037250279841553234
