sample,new_1383187_1383294_c
LBexp_1,6.9157
LBexp_2,6.9183
LBexp_3,7.1266
LBtran_1,7.3789
LBtran_2,7.3075
LBtran_3,7.3673
LBstat_1,7.3922
LBstat_2,7.5499
LBstat_3,7.8266
LBGexp_1,6.9036
LBGexp_2,6.8805
LBGexp_3,6.9943
LBGtran_2,7.6428
LBGtran_3,7.5012
LBGstat_1,7.1733
LBGstat_2,7.2745
LBGstat_3,7.7492
S0_1,6.7783
S0_2,7.0003
S0_3,7.5545
S1_1,8.3495
S1_2,8.2402
S1_3,8.1285
S2_1,8.125
S2_2,7.8825
S2_3,7.8236
S3_1,8.1049
S3_2,11.6074
S4_1,8.3375
S4_2,8.0731
S4_3,7.6938
S5_1,7.9642
S5_2,7.7396
S5_3,8.1013
S6_1,7.7008
S6_2,7.1035
S6_3,7.8311
S6/t_1,8.1833
S6/t_2,7.3896
S6_4,7.9288
S6_5,8.0747
S6_6,8.0618
S7_4,8.8342
S7_5,9.0678
S7_6,9.6885
S8_4,8.9248
S8_5,9.387
G135_1,7.422999999999999
G135_3,7.4344
G150_1,7.3210000000000015
G150_2,6.745
G150_3,7.3957
G180_1,7.2266
G180_2,6.6616
G180_3,7.006
C30_1,9.0027
C30_2,9.0075
C90_1,9.1937
C90_2,8.5516
BI_1,7.8593
BI_2,7.7889
BC_2,7.3748
BC/t_1,7.7635
BC/t_2,9.5038
BC_1,7.5773
Sw_1,7.8816
Sw_2,7.8087
BT_1,10.0062
BT_2,9.3228
B36_1,10.8745
B36_2,11.2261
B60_1,10.854
B60_2,10.8204
M9exp_1,10.6231
M9exp_2,10.6149
M9exp_3,10.2811
M9tran_1,8.8617
M9tran_2,8.7802
M9tran_3,9.2196
M9stat_1,7.932
M9stat_2,8.1259
M9stat_3,8.1021
M+G_1,10.1121
M+G_2,10.425999999999998
M+G_3,10.4408
Glu_1,10.4032
Glu_2,10.4441
Glu_3,10.8475
Fru_1,10.2319
Fru_2,10.2577
