,yhaH
Cr_1,0.0006824569648194589
Cr_2,0.007648576091713811
Cr_3,0.015057188700719946
Cr_4,0.01844229764571122
Cr_5,0.01823232498766821
Cr_6,0.01814271434739161
Fe_1,0.004115791277547126
Fe_2,0.00022906096511488399
Fe_3,0.006827270209397593
Fe_4,0.015664426912825068
Fe_5,0.019645343937060813
Fe_6,0.03202947406967272
Cd_1,0.007026291676211643
Cd_2,0.06606185481773501
Cd_3,0.0483864264390266
Cd_4,0.09268564910423703
Cd_5,-0.05982463289332884
Cd_6,-0.013156693413321312
Zn_1,-0.006027333396871097
Zn_2,0.024104117602178874
Zn_3,0.07354541298523565
Zn_4,0.13299415242647047
Zn_5,0.17833321663157942
Zn_6,0.2084918398112612
Cu_1,-0.0004977150192109921
Cu_2,0.0027400157480395922
Cu_3,0.00847981248039871
Cu_4,0.020071833490570186
Cu_5,0.036553358058630615
Cu_6,0.05380749926191366
Pb_1,0.0007520549475526304
Pb_2,0.009275249705550768
Pb_3,0.022192196852512062
Pb_4,0.02865355457026826
Pb_5,0.03557722620114468
Pb_6,0.045272536892393724
