,A,PurR
R2,,0.16160030767851208
xmin,,-8.216346238
xmid,,-3.4421437887098296
xmax,,0.33396364600000084
ystart,,-15.71704717920787
yend,,-5.557003611210258
control__wt_glc__1,0.0610582455894063,-0.0016611449999999195
control__wt_glc__2,-0.0610582455893164,0.0016611449999999195
fur__wt_dpd__1,-13.286759740192306,-0.6151039760000003
fur__wt_dpd__2,-16.006026472816743,-0.8196669910000001
fur__wt_fe__1,1.1390482265405273,-0.4046822859999999
fur__wt_fe__2,0.7668862207305298,-0.4929092409999996
fur__delfur_dpd__1,-9.12146031695524,-0.57490226
fur__delfur_dpd__2,-8.340634219670726,-0.5644634239999995
fur__delfur_fe2__1,-0.6567719706973615,-0.4231934069999994
fur__delfur_fe2__2,-0.5432219134622409,-0.4981300469999983
acid__wt_ph5__1,-1.6489809755940417,-0.3715409310000002
acid__wt_ph5__2,-1.5819823567708815,-0.4744451719999994
acid__delgadx_ph5__2,-2.080085905927891,-0.5677022889999996
acid__delgadw_ph5__1,-1.4061426225405511,-0.5727839039999996
acid__delgadw_ph5__2,-1.0496969184954656,-0.6632380199999997
acid__delgade_ph5__1,-1.4099110798507128,-0.4367671360000003
acid__delgade_ph5__2,-1.288012193909854,-0.4801847099999996
oxidative__wt_pq__1,-15.84621431526135,-1.4069466989999997
oxidative__wt_pq__2,-15.93536433319489,-1.3920632619999995
oxidative__deloxyr_pq__1,-14.1661021448018,-1.0691250089999995
oxidative__deloxyr_pq__2,-13.87858582520465,-0.9944603439999992
oxidative__delsoxr_pq__1,-14.433734537251148,-1.1476433619999993
oxidative__delsoxr_pq__2,-13.82392262355755,-1.0554763849999995
oxidative__delsoxs_pq__1,-17.130257664941645,-1.8156531379999992
oxidative__delsoxs_pq__2,-17.016861828718632,-1.8466938189999995
nac_ntrc__wt_csn__1,-14.607338597211829,-0.4049359129999992
nac_ntrc__wt_csn__2,-14.90405365731167,-0.3706067479999984
nac_ntrc__wt_cytd__1,-15.460395097632972,-0.31211380799999944
nac_ntrc__wt_cytd__2,-15.407010673834629,-0.35052336899999936
nac_ntrc__wt_gln__1,-13.384719135188073,-0.4722343079999991
nac_ntrc__wt_gln__2,-13.701610176838482,-0.509762434999999
nac_ntrc__bw_delnac_csn__1,-16.840437537517204,-0.6205402560000001
nac_ntrc__bw_delnac_csn__2,-15.885132543053782,-0.336077113
nac_ntrc__bw_delnac_cytd__1,-16.23020262389653,-0.184986404
nac_ntrc__bw_delnac_cytd__2,-16.168883809819572,-0.30857093600000063
nac_ntrc__bw_delnac_gln__1,-13.592968027124858,-0.4535738669999994
nac_ntrc__bw_delnac_gln__2,-13.6218258957086,-0.4784706209999996
nac_ntrc__bw_delnac_nh4__1,-2.6547835906215504,0.08766008399999947
nac_ntrc__bw_delnac_nh4__2,-2.6216650976407148,0.050032210000001236
misc__wt_no_te__1,-6.088136407853336,-0.5700678979999996
misc__wt_no_te__2,-2.2458527436086486,-0.3622095489999992
misc__bw_delcbl__1,-1.2535130896456828,-0.3250749769999981
misc__bw_delcbl__2,-1.2926141358153789,-0.3157871599999993
misc__bw_delfabr__1,-0.5180174585548376,-0.33523313100000074
misc__bw_delfabr__2,-0.5539171297295633,-0.2944725219999995
misc__bw_delfadr__1,-1.9482508396207776,-0.27277315999999985
misc__bw_delfadr__2,-1.9566215969899536,-0.28731209000000035
misc__nitr_031__1,-0.7205941327269482,-0.459089624999999
omics__wt_glu__1,2.147270151946393,-0.44669562699999865
omics__wt_glu__2,1.7521276752199106,-0.3879707249999989
omics__wt_gly__1,0.4464580728610165,-0.1574573560000001
