,-0.23918872971279997,-0.20501891118239998,-0.170849092652,-0.1366792741216,-0.1025094555912,-0.06833963706080001,-0.03416981853040002,-2.7755575615628914e-17,0.034169818530399965,0.06833963706079998,0.10250945559119995,0.13667927412159991,0.17084909265199993,0.20501891118239995,0.23918872971279992,0.2733585482431999,0.3075283667735999,0.3416981853039999,0.37586800383439994,0.41003782236479985
thresh,-0.085424546326,0.085424546326,1,,,,,,,,,,,,,,,,,
unreg,1,1,0,2,3,6,132,3613,149,6,3,0,2,3,0,1,1,0,0,0
unreg_genes,['araA'],['araB'],[],['lacZ' 'araD'],['rhaA' 'yjjB' 'hsdR'],[],[],[],[],[],['fabA' 'pheA' 'fabB'],[],['yqfA' 'mhpE'],['mhpC' 'mhpF' 'yjgL'],[],['mhpD'],['tabA'],[],[],[]
