,insA_7
Cr_1,-0.0026804369443240252
Cr_2,-0.007411995402072402
Cr_3,-0.011028255256659878
Cr_4,-0.014801522498653574
Cr_5,-0.017217838873113518
Cr_6,-0.019574622754690667
Fe_1,-0.0038649292304352547
Fe_2,0.004381282932012685
Fe_3,0.027442808508158584
Fe_4,0.05850179192105792
Fe_5,0.09853339376406384
Fe_6,0.1418557890359569
Cd_1,0.005625752099292401
Cd_2,0.013223916908674171
Cd_3,0.02096254591520224
Cd_4,0.026406874837974173
Cd_5,0.026256173997406797
Cd_6,0.03026637459671978
Zn_1,-0.005669729155442597
Zn_2,-0.013260691720399807
Zn_3,-0.020273233013358004
Zn_4,-0.029835448794235976
Zn_5,-0.03573185212273956
Zn_6,-0.043577585091807085
Cu_1,0.018516774703948462
Cu_2,0.07082656132156233
Cu_3,0.12191690831599993
Cu_4,0.1624313851027356
Cu_5,0.1927209231141074
Cu_6,0.21533913159140736
Pb_1,0.004722645814663847
Pb_2,0.009743459203539384
Pb_3,0.014612010031942287
Pb_4,0.01725458929079993
Pb_5,0.022182955851344215
Pb_6,0.029850717725411383
