,rssB
Cr_1,-0.0006127276295417258
Cr_2,0.0034086183942152394
Cr_3,0.010749770283154552
Cr_4,0.020721715564051838
Cr_5,0.0305822473865119
Cr_6,0.03737475392564233
Fe_1,-0.007493198414274199
Fe_2,-0.040426550219114746
Fe_3,-0.08361134861301629
Fe_4,-0.14458984403950453
Fe_5,-0.19888310571308448
Fe_6,-0.2419243855119821
Cd_1,0.0017749236481770585
Cd_2,0.0031927309785790307
Cd_3,0.0031913407047478013
Cd_4,0.000653154107492962
Cd_5,-0.0060987854514813825
Cd_6,-0.007012124599874762
Zn_1,-0.005582469931983742
Zn_2,-0.010877918297214384
Zn_3,-0.013502205851189615
Zn_4,-0.008985241574353457
Zn_5,0.004967149981360889
Zn_6,0.0209212109044748
Cu_1,-0.003264104389879621
Cu_2,-0.0040432872772173615
Cu_3,-0.004792870306115153
Cu_4,0.00010333796773207011
Cu_5,0.002249627111040564
Cu_6,0.008220846475857236
Pb_1,0.008096539865910298
Pb_2,0.011546887080803935
Pb_3,0.01942671885017356
Pb_4,0.02739418474659595
Pb_5,0.03408992050314255
Pb_6,0.04342366759488462
