,A,cysB
R2,,0.2825647218457883
xmin,,5.966921847714571
xmid,,
xmax,,9.36931652159955
ystart,,-12.534020254148231
yend,,14.119866745792862
control__wt_glc__1,-0.173726856533,7.58178904527207
control__wt_glc__2,0.173726856533,7.58821939683375
fur__wt_dpd__1,4.11119631374,7.16979440029412
fur__wt_dpd__2,5.246231530299999,7.28003108027436
fur__wt_fe__1,1.6377617884,7.5843725805379805
fur__wt_fe__2,1.0484603341,7.63555002120304
fur__delfur_dpd__1,2.08313457217,7.1443133100853204
fur__delfur_dpd__2,3.1245744990400004,7.251672403648231
fur__delfur_fe2__1,2.6276994193900003,7.65958169745649
fur__delfur_fe2__2,2.58086735315,7.609571984345959
acid__wt_ph5__1,1.97930238685,7.76413464663883
acid__wt_ph5__2,2.40317496434,7.71900018538172
acid__delgadx_ph5__1,1.75538026942,7.67078659409142
acid__delgadx_ph5__2,1.8644637184000001,7.61683550135189
acid__delgadw_ph5__1,2.79516951455,7.792094094689679
acid__delgadw_ph5__2,2.48968558636,7.9820665734522
acid__delgade_ph5__1,1.9094897178499999,7.85488963550768
acid__delgade_ph5__2,2.2581499269400003,7.73587521018557
oxidative__wt_pq__1,-24.6006820996,6.67965521841557
oxidative__wt_pq__2,-24.7380940542,6.84169499386363
oxidative__deloxyr_pq__1,-24.467861516,6.87020187955829
oxidative__deloxyr_pq__2,-23.9570263055,6.8848169129395
oxidative__delsoxr_pq__1,-24.9291448708,6.8643911982779695
oxidative__delsoxr_pq__2,-24.4741629502,6.96283622156644
oxidative__delsoxs_pq__1,-25.1814515566,6.837432797988289
oxidative__delsoxs_pq__2,-25.57479481,6.86602211819288
nac_ntrc__wt_csn__1,0.567058574948,7.48056616531631
nac_ntrc__wt_csn__2,0.707874086398,7.639750665755581
nac_ntrc__wt_cytd__1,-1.21586939515,7.6929084436991
nac_ntrc__wt_cytd__2,-1.6435926517299997,7.6918201218260505
nac_ntrc__wt_gln__1,-0.9819743148260001,7.628174566422921
nac_ntrc__wt_gln__2,-0.9945482696860001,7.55653875551745
nac_ntrc__bw_delnac_csn__1,3.0851212925300002,7.291609441652089
nac_ntrc__bw_delnac_csn__2,2.37343126618,7.3739559898607805
nac_ntrc__bw_delnac_cytd__1,1.3646367926299998,7.76591698955309
nac_ntrc__bw_delnac_cytd__2,1.32610633021,7.6942881689173
nac_ntrc__bw_delnac_gln__1,1.08493015895,7.6891210291058805
nac_ntrc__bw_delnac_gln__2,1.2808782197,7.74999022755905
nac_ntrc__bw_delnac_nh4__1,1.7581223337799998,7.75840818452688
nac_ntrc__bw_delnac_nh4__2,1.5210099933,7.7561887101620695
misc__wt_no_te__1,-3.1905868546200002,7.744975049450259
misc__wt_no_te__2,0.140822269915,7.918738868847799
misc__bw_delcbl__1,1.8807760991299998,7.85453579401664
misc__bw_delcbl__2,1.97769673885,7.93281141477488
misc__bw_delfabr__1,3.7046395871199995,7.8865841462796
misc__bw_delfabr__2,3.8547892830199997,7.80919609550254
misc__bw_delfadr__1,1.28514686754,7.75868418526714
misc__bw_delfadr__2,1.27381745288,7.77309333134141
misc__nitr_031__1,1.0573065153399999,7.62555771102715
omics__wt_glu__1,1.2441023467299999,7.78310986106097
omics__wt_glu__2,1.75672601553,7.412178988543481
omics__wt_gly__1,0.439625489268,7.23035688248234
omics__wt_gly__2,0.7254444463680001,7.16008734004288
omics__wt_thr__1,1.78307801178,7.95570374243477
omics__wt_thr__2,2.08398462597,7.85967777930597
omics__bw_ac__1,1.5654515153100002,7.54428521696116
omics__bw_ac__2,1.7619686306400002,7.46804288128391
omics__bw_fum__1,1.15253248837,7.47876967404189
omics__bw_fum__2,0.841615267369,7.542256154848079
omics__bw_glc__1,0.03333480628840001,7.50725952334965
omics__bw_glc__2,0.0991413025316,7.48482738653455
omics__bw_pyr__1,0.670935426754,7.215569290694949
omics__bw_pyr__2,1.3081616948299999,7.11612402109789
ompr__wt_nacl__1,-0.777267218898,7.90465526451864
ompr__wt_nacl__2,-1.4784065287,7.99239155510697
ompr__bw_delompr_nacl__1,3.2595408149500003,7.983720214814089
ompr__bw_delompr_nacl__2,2.94049896694,8.041796043793381
minspan__wt_ade__1,0.171749045672,7.62564683623039
minspan__wt_glc__1,1.4588744006299998,7.8630530575502
minspan__wt_glc__2,0.903253286453,7.73060229740109
minspan__wt_glc__3,0.6974094836679999,7.91563279667088
minspan__wt_glc__4,0.987096571594,7.79775893723065
minspan__wt_glc_anaero__1,-2.34215949271,7.451124079605559
minspan__wt_glc_anaero__2,-1.7393384672599999,7.41411677585709
minspan__wt_trp__1,-14.746890773099999,6.986041385515
minspan__bw_delcra_glc__1,-5.14195796769,7.17999436379745
minspan__bw_delcra_glc__2,-4.924864454750001,7.08692678311846
minspan__bw_delcra_trp__1,-9.41456699737,7.30949579200211
minspan__bw_delmntr__1,-4.642454804280001,7.00595365092923
minspan__bw_delnac_ade__1,3.72035598941,8.310434325905
minspan__bw_delnac_glc__1,-3.0237892962,7.91949249076464
cra_crp__wt_ac__1,-0.7713842735850001,7.14453770542525
cra_crp__wt_ac__2,-0.631333310281,7.2804471974295195
cra_crp__wt_fru__1,0.587157792218,7.456874968878489
cra_crp__wt_fru__2,0.057160657554,7.31534474751588
cra_crp__delcra_ac__1,-1.1416314631,7.541388152172621
cra_crp__delcra_ac__2,-1.4194152705,7.72181138880991
cra_crp__delcra_fru__1,0.200837293849,7.80756222301016
cra_crp__delcra_fru__2,0.489812768271,7.662707420702549
cra_crp__delcra_glc__1,1.7391702508400002,7.7554215084579
cra_crp__delcra_glc__2,1.5038712285799998,7.80166350796038
rpoB__wt_031__1,-0.936508011063,7.23493911005028
rpoB__wt_044__1,1.51187520993,7.41329797985013
rpoB__wt_lb__1,-11.0994034782,6.96154409045381
rpoB__wt_lb__2,-10.7679906849,7.08645371821172
rpoB__rpoBE546V_031__1,0.5798431264549999,7.1880046585522
rpoB__rpoBE546V_044__1,0.679674938347,7.27045359015323
rpoB__rpoBE546V_lb__1,-9.17416622248,7.561877436187191
rpoB__rpoBE546V_lb__2,-8.629384160739999,7.46780184851197
rpoB__rpoBE546V_glc__1,1.5977378986000002,7.609886788422071
rpoB__rpoBE672K_glc__1,3.85831975549,7.34005606910462
rpoB__rpoBE672K_glc__2,3.9210159146699994,7.369527937231599
