,A,IscR,ihfB,NsrR,Fur,OxyR
R2,,0.12132210880065686,0.03459640782097684,0.014081820144272172,0.01224264965239863,0.006404383841775219
xmin,,-4.0695735795,-3.9178110457,-3.3695472206,-9.893921886,-7.3223905695
xmid,,-2.2277652764675437,0.12510974287222418,,-0.3403538322208369,-0.6972151001097243
xmax,,6.0351026244,3.3245249795,5.797296702,3.7262191745,2.7180365921
ystart,,-2.7718070689954803,-0.46411430805599285,1.4939039908922882,-0.4947157914370729,-0.43779006316052743
yend,,6.562886322500295,5.641919543850689,-2.241424063340313,3.1394112207386096,1.8609702389246963
SRX1125282,-0.6413783512,0.1961125515,-0.1131958483,-0.2207476343,-0.019353005700000002,-0.1994062507
SRX1125283,-0.5679978804,0.2492934441,0.0772468121,-0.5463815679,0.2305871583,-0.1810197527
SRX1125284,-0.6153248713,1.3767230655,0.0671979825,-0.2351401063,0.7275786303,-0.1271125231
SRX1125285,0.5322398153,2.7033032066000002,-0.031233225400000002,-0.5788017455000001,1.208661552,0.0232212942
SRX1125286,0.9656112556,3.5706111306,0.0201842575,-0.9354173704000001,1.1169083627,-0.2269379292
SRX1125287,0.6977654885,4.4498568069,-0.1696861744,-0.8477942645000001,1.0786663615,-0.5323617533
SRX1125288,0.4363776253,-0.2418157153,0.030994294500000002,0.11996087350000001,-0.0089366757,0.0473553623
SRX1125289,-0.2196091674,0.3811049215,0.0539088152,-0.5137669567,0.5340986209,-0.1642196427
SRX1125290,-0.1742684167,1.795243176,0.1097352022,-0.2228296512,0.8046125807000001,0.0369003024
SRX1125291,0.1853487167,3.1893480813,0.2340397233,-0.3971529525,1.2652089755,0.029819873700000003
SRX1125292,1.3941044367,4.1026813917,0.2579735379,-0.4851082459,0.9467520126000001,-0.1310457938
SRX1125293,1.9530371251,4.6786511326,0.5504911606,-0.5183309043000001,1.0346662242,-0.3571388817
SRX1125294,0.2050007259,0.0457031638,0.0822015539,0.1007867608,0.028289681400000002,0.1520508884
SRX1125295,-0.6717457215,0.21556444100000002,0.4189166854,-0.2326454443,0.43446716560000004,0.0072753883
SRX1125296,-0.0421996248,1.0441432282,0.2529822276,-0.288216446,0.6134168988,0.06296445
SRX1125297,0.1474991049,2.8018290997,0.39341672120000004,-0.3433618417,1.29823639,0.1458944704
SRX1125298,0.1012142793,3.6959819924,0.2673414086,-0.8496726533000001,1.3466842796,-0.1116795619
SRX1125299,0.962257888,4.4561110562,0.42329341260000003,-0.2456434827,1.1321686126000001,-0.3604139954
SRX5694250,3.0360754753,-2.0802287322,2.297485246,-1.2571186993999999,0.15514151240000001,-0.8040297075
SRX5694251,-2.9515606517,1.120032138,-1.5657193052,0.9077618066,0.4377684502,-1.6980277039
SRX5694252,0.0054176223,-1.066498431,1.171465281,-0.948976938,-0.4062446666,0.20879793200000002
SRX5694253,1.6090553234,-0.20468912020000002,0.294111116,-0.0532087793,0.46838079790000003,-0.4874036866
SRX5694254,1.2262598092,-0.1650081336,0.9331627303000001,-0.8151296348,0.6257311257,-0.4845002531
SRX5694255,-1.874483863,1.3610854424,-1.5948301920999999,-0.6689488431,1.2222652304000001,0.6848174218
SRX5694256,4.0472420673,-0.0010431667000000001,-0.6969566792,0.3183604848,0.18962784700000002,-0.3818613059
SRX5694257,0.7032902838,0.9377990759,-0.24371025970000001,0.0799654781,1.1965334314,-0.1905117591
SRX5694258,4.1215204676,-0.6106637571,0.3294536628,0.059539330800000005,0.2926141826,-0.6539429079
SRX5694259,-2.8512127784,1.3121323524,-1.0253066066,1.4410314397000001,0.14519100170000002,-1.3873508818
SRX5694260,2.1319303551,0.5913603573,-1.1929652783,0.3169623364,-0.0246486099,0.26234605980000003
SRX5694261,5.2411813137,0.5709795515,0.8805616572,-1.6052379932,-1.6263367794999999,-0.6582008188
SRX5694262,-1.9358823224,-0.7547559425,1.9132335694,-0.1461348632,-0.8044302194,-1.1940372072
SRX5694263,1.6276116417000002,0.9231525155,-1.1279696429000001,0.7432808225,-0.0720290764,0.1111548504
SRX5694264,-1.0266536914,0.1444254562,-0.9605612867000001,-0.2166065815,0.463461864,0.5874507888
SRX5694265,-1.5373178525,-0.06277518700000001,-0.7856317823000001,-0.1369015042,-0.5470965469,-0.1538106441
SRX5694267,1.1152784035,-0.2912923288,0.10447339950000001,-0.7326129115000001,0.30733720410000004,-0.3431364357
SRX5694268,3.2408042909,0.4030280303,-1.1566112913,0.166517724,-0.2169944251,0.5788240973000001
SRX5694269,1.6067488154,0.4257361739,-0.5151260577,0.3759936703,-0.0938650437,0.3706831191
SRX5694271,-0.3706998843,0.3932601396,-0.3442757495,0.0522659552,0.2777125167,0.1584760646
