,A,rcsB
R2,,0.02265815159789042
xmin,,-8.931931499000003
xmid,,0.4757918521891542
xmax,,1.9262978509999995
ystart,,2.01755550757378
yend,,15.829355664429706
control__wt_glc__1,-0.2672690570597599,-0.008349429000000795
control__wt_glc__2,0.2672690570597321,0.00834942899999902
fur__wt_dpd__1,3.261450478978264,0.16426901499999855
fur__wt_dpd__2,3.71894563364905,0.2581535969999997
fur__wt_fe__1,-0.2413407756557606,-0.042768621000002234
fur__wt_fe__2,0.4650757042880031,0.02346840899999947
fur__delfur_dpd__1,5.174922111166226,0.04205916099999918
fur__delfur_dpd__2,5.77489415008282,0.1472291349999999
fur__delfur_fe2__1,3.5497065183970653,0.13577835899999968
fur__delfur_fe2__2,3.720496602820704,0.09420763699999846
acid__wt_ph5__1,0.3437974114705635,0.1205348079999986
acid__wt_ph5__2,0.2818310768301194,0.12548818399999995
acid__delgadx_ph5__2,0.4930213040870947,0.2591910869999996
acid__delgadw_ph5__1,0.3647126543457099,0.1517118859999993
acid__delgadw_ph5__2,0.1067648004701192,0.06164682899999896
acid__delgade_ph5__1,0.6259849732048441,0.1083376619999985
acid__delgade_ph5__2,0.1576462269136028,0.07220935599999834
oxidative__wt_pq__1,2.0738332759420497,0.2319069699999989
oxidative__wt_pq__2,2.50804661963201,0.23612099199999825
oxidative__deloxyr_pq__1,0.0276404331256016,0.6301270029999984
oxidative__deloxyr_pq__2,0.3300055083254473,0.6468387329999992
oxidative__delsoxr_pq__1,7.614807485079165,0.14160091999999835
oxidative__delsoxr_pq__2,7.941655994182478,0.1036431629999992
oxidative__delsoxs_pq__1,2.444723502097753,0.330703183999999
oxidative__delsoxs_pq__2,2.6455379029528245,0.268074326999999
nac_ntrc__wt_csn__1,5.595378290590987,0.10020555699999888
nac_ntrc__wt_csn__2,5.293421275256109,0.038323557000000015
nac_ntrc__wt_cytd__1,1.2459812508603567,0.11874910999999955
nac_ntrc__wt_cytd__2,1.5698495875012457,0.12854416699999938
nac_ntrc__wt_gln__1,1.6055496121158044,0.16808575699999828
nac_ntrc__wt_gln__2,1.132541024287778,0.08297950999999948
nac_ntrc__bw_delnac_csn__1,3.7964091069805783,0.1626351969999984
nac_ntrc__bw_delnac_csn__2,1.3258110154464344,-0.03641933799999997
nac_ntrc__bw_delnac_cytd__1,-0.2369880713838456,0.21195147599999944
nac_ntrc__bw_delnac_cytd__2,0.408142699631505,0.1382024279999996
nac_ntrc__bw_delnac_gln__1,-1.2864208802978196,0.40291679899999977
nac_ntrc__bw_delnac_gln__2,0.0622165890471184,0.3389696829999984
nac_ntrc__bw_delnac_nh4__1,-0.2034400971932349,0.14955078999999927
nac_ntrc__bw_delnac_nh4__2,-0.4832264143038504,0.09878370599999896
misc__wt_no_te__1,1.6816948473821869,0.12695054299999953
misc__wt_no_te__2,1.252604426945137,0.0783279549999989
misc__bw_delcbl__1,-0.0046983161670944,0.02414981399999938
misc__bw_delcbl__2,0.1406662328872525,0.10651987599999836
misc__bw_delfabr__1,0.6819331088663994,-0.07623400800000013
misc__bw_delfabr__2,0.6337469427204723,-0.06710162200000093
misc__bw_delfadr__1,0.9322121167781006,0.01578737999999902
misc__bw_delfadr__2,0.1786274445880247,-0.02482556200000019
misc__nitr_031__1,2.1582362923413614,0.19850430799999866
omics__wt_glu__1,-0.2798877082190201,0.9405342769999994
omics__wt_glu__2,-0.5115244014075495,0.9467667639999996
omics__wt_gly__1,0.6158648060168123,0.4763956139999994
omics__wt_gly__2,1.0214698767450516,0.5246357829999989
omics__wt_thr__1,7.0565872587594,0.6793390369999983
omics__wt_thr__2,5.686757549594425,0.8439817219999988
omics__bw_ac__1,-1.5724958844434462,0.11975411199999896
omics__bw_ac__2,-1.6243951032569734,-0.013042590000001296
omics__bw_fum__1,-1.1698433632873253,-0.022121233000000014
omics__bw_fum__2,-0.4959022413180672,-0.056187305000001686
omics__bw_glc__1,-0.4968710990025823,0.3071165069999999
omics__bw_glc__2,-0.8257298071327824,0.2377713099999994
omics__bw_pyr__1,-0.4820234048993153,0.3079970339999996
omics__bw_pyr__2,1.5480331949960646,0.2759715189999987
ompr__wt_nacl__1,7.365555754519607,-0.07090629100000179
ompr__wt_nacl__2,7.531083839610804,-0.05711121100000228
ompr__bw_delompr_nacl__1,18.03775227430232,-0.5003220070000012
ompr__bw_delompr_nacl__2,18.246674822827764,-0.4751918560000021
minspan__wt_ade__1,5.09818120832635,0.6361941859999991
minspan__wt_glc__2,1.2832690955992467,0.2383189629999993
minspan__wt_glc__3,0.8783926436462326,0.3025966959999984
minspan__wt_glc__4,0.8732101588789211,0.24112209999999834
minspan__wt_glc_anaero__1,-0.9740271415010494,0.3545953189999995
minspan__wt_glc_anaero__2,-1.4719344970945765,0.24381532599999825
minspan__wt_trp__1,-0.536876557178172,0.13030832199999942
minspan__bw_delcra_glc__2,-0.1406260568501146,-0.06311263000000089
minspan__bw_delcra_trp__1,-0.0169598044505499,0.13343519599999887
minspan__bw_delmntr__1,-0.1715823949090648,-0.08846206600000173
minspan__bw_delnac_ade__1,-0.0617059066288514,0.8010075419999989
minspan__bw_delnac_glc__1,1.2328231295032328,0.3940792189999982
cra_crp__wt_ac__1,-1.0039484547081627,0.4757830069999986
cra_crp__wt_ac__2,-0.3528458826638505,0.5316419459999988
cra_crp__wt_fru__1,-0.1913936828634611,0.5970210959999989
cra_crp__wt_fru__2,-0.8496990790199984,0.7608507189999987
cra_crp__delcra_ac__1,0.1080911083399726,-0.2880562620000013
cra_crp__delcra_ac__2,-0.0745319231439893,-0.3331048910000014
cra_crp__delcra_fru__1,2.115420972091957,0.030276396999999733
cra_crp__delcra_fru__2,2.0461136049778195,-0.011744985000001762
cra_crp__delcra_glc__1,0.2544051736160514,-0.005461662000000089
cra_crp__delcra_glc__2,0.6030032669129293,0.031075859999999626
rpoB__wt_031__1,-1.1042431221392774,0.008506319999998624
rpoB__wt_044__1,0.4587174986479735,0.12108106199999825
rpoB__wt_lb__1,-1.237841242906415,0.14393388899999948
rpoB__wt_lb__2,-0.7234628580848514,0.010913743999998005
rpoB__rpoBE546V_031__1,0.5787162949853992,0.22785987399999816
rpoB__rpoBE546V_044__1,1.2788278773553488,0.2851433479999983
rpoB__rpoBE546V_lb__1,-1.2280216122367569,-0.05696845699999997
