,A,NtrC,RpoN
R2,,0.533261423743662,0.10264957015379039
xmin,,-5.0016790975,-2.3873792415
xmid,,,-1.7837173607378716
xmax,,3.6263915463,1.8751403472
ystart,,-9.269160728987249,-4.246769632818181
yend,,6.830313045123748,2.7085664743178346
aat__00m_00s__1,-0.7456342318,0.0592910135,-0.1868415971
aat__00m_30s__1,-0.1874651938,-0.424825732,-0.20162633530000001
aat__01m_00s__1,0.6545257252000001,-0.0994417377,-0.1942665755
aat__02m_00s__1,1.2975816481,-0.1519072109,-0.1859665862
aat__05m_00s__1,1.6760173588,-0.3824087766,-0.1681106608
aat__10m_00s__1,0.5187220525,-0.448447001,-0.3706350145
aat__00m_00s__2,1.1281011646,-0.1184629314,0.3031607257
aat__00m_30s__2,1.7565653582,0.1590714269,0.039643016600000004
aat__01m_00s__2,3.4248683705,0.1223935872,-0.0013643723
aat__02m_00s__2,3.2141018368,0.9967064014,-0.0414927971
aat__05m_00s__2,0.7556134354,-0.7361129937,-0.0746450885
aat__10m_00s__2,-0.9268683173000001,-0.6405521565,-0.23586419190000002
aat__00m_00s__3,-0.3824669328,0.0591719178,-0.1163191286
aat__00m_30s__3,-0.40742554410000004,-0.2093034258,-0.0736221406
aat__01m_00s__3,0.6807917551,-0.2268632747,-0.17730413120000002
aat__02m_00s__3,1.4602973115,0.0409081286,0.020768331
aat__05m_00s__3,0.1907238208,-0.6022708777,-0.0944720948
aat__10m_00s__3,-0.9661115603,-0.6028329505000001,-0.2044310802
abx_mega__dmso-2__1,1.0472642379,-0.1115697667,1.436026237
abx_mega__ery_dmso__1,-6.2707089353,-1.7993250065000002,-0.4394529035
abx_mega__nal_naoh__1,1.8079254425,0.8448972578,0.8772278743
abx_mega__dmso-5__1,0.3912037041,0.2475318243,0.48399777580000003
abx_mega__rif_dmso__1,-0.331898272,0.8994530527,0.5157631166000001
abx_mega__novo_h2o__1,-1.8245292703,-3.3432007434,-0.47626519900000003
abx_mega__rach_dmso__1,0.6226458718,0.7452309176,0.2802484757
abx_mega__metro_dmso__1,-1.4411795635,0.1982681888,0.5245333254
abx_mega__dmso-6__1,-2.0942949998,0.3183510645,0.6253545409
abx_mega__chl_h2o__1,-7.8861129126,-2.1655067332,-1.1569223535
abx_mega__cst_h2o__1,1.1978892153,0.5621982431,0.47138731170000003
abx_mega__tec_h2o__1,2.4019710477,0.6286643575,1.1163565781
abx_mega__str_h2o__1,1.2760972472,-1.5043904156,1.0148136427
abx_mega__ctx_h2o__1,1.8261651927,0.5145998028000001,0.17737386800000002
abx_mega__nal_naoh__2,1.4460857574000001,0.7579620619,0.29679740990000003
abx_mega__phos_h2o__1,2.4611945679,0.8072916207,0.0454729513
abx_mega__dmso-5__2,0.0694281795,0.2591828654,0.3122538416
abx_mega__polmyx_h2o__1,1.0918455264,0.5839353238,0.2227196066
abx_mega__h2o-8b__1,0.11889561650000001,0.5927965196,0.5063994107
abx_mega__h2o-6__1,-0.4870601612,0.16968930270000002,0.3051735166
abx_mega__thio_dmso__1,-3.5220804295,-1.84200958,-0.5165923039
abx_mega__phos_h2o__2,0.3429572234,0.452291645,0.2233186073
abx_mega__ctx_h2o__2,4.0829250554,1.167500488,0.29327006640000003
abx_mega__lzd_dmso__1,-4.5923867331,-2.3275242281,-0.4751825277
abx_mega__naoh-9__1,1.7215436466,1.0006758113,0.7141301084
abx_mega__dox_dmso__1,-3.1260509913,-1.9103520652000001,-0.1250149644
abx_mega__phos_ethanol__1,0.8023240991,0.2878034512,0.1832669966
abx_mega__teix_dmso__1,0.6454991515,0.1658886605,0.24005400300000002
abx_mega__dmso-10__1,0.847434514,0.5748562228,0.46972722450000004
abx_mega__van_dmso__1,4.4525306153,-1.6083411718,-1.4643864076
abx_mega__ramo_h2o__1,1.1644777432,-0.0382251755,0.1260201991
abx_mega__tec_h2o__2,1.4496272554,0.7113152838,0.3343991052
abx_mega__h2o-7__1,3.5334766154,1.0524685235,0.4390523529
abx_mega__cro_h2o__1,3.7689298011,1.1128885472,0.0244285967
abx_mega__tric_ethanol__1,-2.2446535768,-1.4604834374,0.8885968622
abx_mega__nor_naoh__1,0.0651442016,0.47983204630000004,0.0717713583
abx_mega__teix_dmso__2,0.7588766383000001,0.7510258354,0.0577123861
abx_mega__nal_naoh__3,1.1773258463,0.9003964777000001,0.3177105557
abx_mega__novo_h2o__2,-2.0343153843,-3.338719707,-0.515894651
abx_mega__dmso-10__2,1.2265494862,0.9491077301,0.5026956472
abx_mega__phos_h2o__3,-0.2496388883,0.1817953123,0.25320663050000003
abx_mega__dmso-6__2,-2.9871191546,-0.3447722508,0.399044075
abx_mega__rfp_ethanol__1,1.0018779258,0.6331302499,-0.1980047811
abx_mega__dmso-5__3,0.0190115855,0.6431555454,0.44623232
abx_mega__amyc-d_dmso__1,-4.9046908507,-1.9347585843,-1.6569644717
abx_mega__sxt_dmso__1,2.1178837899,1.5539798591,0.3805901292
abx_mega__dmso-1__1,-0.3529704758,-0.0019869059,0.1000790257
abx_mega__pen_h2o__1,2.0632060579,-0.9550975944000001,-0.6047470268
abx_mega__dmso-10__3,0.6937077263,1.2126038991,0.5817327388
abx_mega__nal_naoh__4,1.7122346752,1.0402574125,0.4131544234
abx_mega__cip_naoh__1,2.141067748,1.1947534586,0.3139018471
abx_mega__pen_h2o__2,1.0523060968,-0.1685040766,-0.4614786729
abx_mega__ery_dmso__2,-6.9959266265,-1.8120775748,-0.8711782534
abx_mega__dmso-2__2,1.6145465657,0.010405266,1.6330404249
abx_mega__van_dmso__2,3.4603346527,-2.1384172426,-1.4325930877
abx_mega__h2o-1b__1,0.0533883969,-0.1648045381,0.049925419000000006
abx_mega__ery_h2o__1,-2.7881236023,-2.412063396,-0.8530769732
abx_mega__bacit_h2o__1,1.2441511103,-0.45470941260000003,0.06588176800000001
abx_mega__chl_h2o__2,-7.8206213192,-2.6598516723,-1.1962969357
abx_mega__str_h2o__2,0.6925289809,-2.0377735328,1.1805175986
abx_mega__rfp_ethanol__2,-0.343843701,0.5605361616,0.0344397316
abx_mega__polmyx_h2o__2,0.3147001457,0.1743075567,0.0497336679
abx_mega__tric_h2o__1,-2.4202730078,-0.5895085829,0.4801215364
abx_mega__cip_naoh__2,0.4585955773,0.659692881,0.1248055101
abx_mega__novo_h2o__3,-0.5787962093,-2.2304007271,-0.3918043912
abx_mega__bacit_dmso__1,-1.1267847629,-0.41267954160000003,0.0971589638
abx_mega__gen_h2o__1,-3.3941252081,-3.4547757927,0.3781390592
abx_mega__bacit_dmso__2,-2.0742762332,-0.41661073070000004,-0.0185690991
abx_mega__chl_dmso__1,-6.2044029125,-2.7255018573000003,-0.2968713899
abx_mega__bacit_h2o__2,-0.46069013740000003,-0.7897777941,-0.2798995233
abx_mega__lvx_dmso__1,1.8621241079000002,1.2566566301,0.2366626578
abx_mega__bacit_h2o__3,0.1671418952,-0.5078540578,0.1175635035
abx_mega__nor_naoh__2,0.1345322997,0.606263977,0.0778313483
abx_mega__amyc-d_dmso__2,-4.5594509189,-1.3331478933,-0.482735487
abx_mega__polmyx_h2o__3,2.0385332645,0.7162399768000001,1.1987243344
abx_mega__naoh-6__1,-0.0994326447,0.1946706988,0.3867353197
abx_mega__cst_h2o__2,-0.93708673,0.3218313478,-0.0592366311
abx_mega__h2o-1b__2,0.3842764292,0.6806147585,0.361309818
abx_mega__rfp_h2o__1,-2.4614858841,-0.4144742954,0.1986005924
abx_mega__tet_h2o__1,-4.1010142028,-3.0723857148000002,-1.1852549083
abx_mega__flavo_dmso__1,0.5087404761000001,0.3983723062,0.31348030800000004
abx_mega__zeocin_h2o__1,2.1418690452,0.8860046028,0.1895157472
abx_mega__nor_naoh__3,0.0527415116,0.4438108868,0.0003915057
abx_mega__rach_dmso__2,2.3725183121,1.4912068385000001,0.7509322677
abx_mega__thio_dmso__2,-7.8065871155,-3.1161678707,-1.2288856103999999
abx_mega__amyc-d_dmso__3,-4.2704989179,-2.1655086748,-2.0587907643
abx_mega__rif_dmso__2,-2.9824120677,0.3941810271,0.5754528234
abx_mega__amyc-d_dmso__4,-3.0489803371,-1.325842167,-0.5423701563000001
abx_mega__teix_dmso__3,0.1152310953,-0.0611737684,-0.0655542478
abx_mega__valin_dmso__1,-2.4537164715,0.2110730023,-0.43426283600000004
abx_mega__teix_dmso__4,0.62032169,0.5280943687,0.27130681500000003
abx_mega__ethanol-10__1,2.218109712,0.8465819548,0.40267153240000003
abx_mega__inh_h2o__1,1.6729405669,0.8234940753000001,0.0766455533
abx_mega__rif_dmso__3,1.4266674212,0.7597553231,0.5938319508000001
abx_mega__van_dmso__3,1.3649309536,-1.9352808826,-0.6893900788
abx_mega__doxo_dmso__1,4.2188848131,1.5388899106,0.3216071352
abx_mega__tmp_dmso__1,0.8848128088,0.7038846178,0.1661161452
abx_mega__ethanol-10__2,1.9208736552,0.8158469796000001,0.1536875017
abx_mega__tmp_dmso__2,1.075040925,0.5673388314,0.1318068886
abx_mega__amyc-d_dmso__5,-3.9061561347,-2.8154013045,-2.0873112251
abx_mega__novo_h2o__4,-1.5452299663,-1.8847473219,0.13625533880000001
abx_mega__cro_h2o__2,3.2265129983,0.9755109533,0.1035761797
abx_mega__cro_h2o__3,2.8825373049,0.608860649,0.0686106756
abx_mega__gen_h2o__2,-2.199533726,-3.4961042582,0.7751869361
abx_mega__phos_h2o__4,1.8326224088,0.36321162020000003,1.2666739765
abx_mega__metro_dmso__2,-0.9956577419,0.3558781377,0.8183508658
abx_mega__ery_h2o__2,-3.6032460009,-3.4174884121,-0.602350214
abx_mega__sacet_h2o__1,-4.772982511,-2.1702108467,1.8751403472
abx_mega__nal_naoh__5,1.304567486,0.9785858232,0.1431744405
abx_mega__bacit_h2o__4,-1.3375010857,-1.2971225591,-0.25559654600000004
abx_mega__cip_naoh__3,2.5566690604,1.0610354219,0.32443566830000004
abx_mega__ethanol-8__1,2.6026934872,1.2342028638,0.3540685267
abx_mega__h2o-8a__1,-0.3967032686,-0.7110558445,0.3335097184
abx_mega__ery_h2o__3,-1.6788292868,-2.6543720815,-0.7729734864000001
abx_mega__flavo_dmso__2,4.8728486933,1.7278237979000002,0.3623249183
abx_mega__rif_dmso__4,0.9310426011,1.3057669353999999,0.4264630231
abx_mega__novo_h2o__5,0.6397938563000001,-2.044001909,-0.5119814499
abx_mega__teix_dmso__5,0.6906462403,0.7644960383,0.3829448741
abx_mega__naoh-2__1,1.4185195876,0.1932857352,1.2563867105
abx_mega__novo_h2o__6,0.3790560491,-1.6267050395,-0.40610684150000004
abx_mega__ctx_h2o__3,2.7800940809,0.5271070502,0.2070871461
abx_mega__rach_dmso__3,1.9400958891000002,1.2238124148,0.8095988900000001
abx_mega__valin_dmso__2,-2.6168974746,0.49283146790000004,-0.3638890656
abx_mega__amyc-d_dmso__6,-5.6357914637,-3.4475170041,-1.7587812473
abx_mega__dox_dmso__2,-1.9533879305,0.0798844353,-0.0236915871
abx_mega__teix_dmso__6,1.6138906641,0.8839951991,0.2270913317
abx_mega__naoh-6__2,-0.20269317010000001,0.1594231117,0.390126913
abx_mega__inh_h2o__2,-1.893379007,-0.6466199711,0.5741467445
abx_mega__chl_h2o__3,-7.7844769185,-2.791577442,-0.8383837954000001
abx_mega__nal_naoh__6,1.389834028,0.8574331826,0.1949048065
abx_mega__chl_dmso__2,-6.4896732399,-2.8763725773,-0.2965190891
abx_mega__rach_dmso__4,2.7574951328,1.6672908383,0.9072279491
abx_mega__teix_dmso__7,1.7467090774,0.9766484320000001,0.4760578098
abx_mega__ceru_ethanol__1,-0.5098062838,0.2703595526,0.5942382494
abx_mega__dmso-7__1,1.3663680563,0.8984270429000001,0.5502041329
