,entS
Cr_1,0.004277722909492224
Cr_2,0.009836050001901344
Cr_3,0.016330347956352954
Cr_4,0.02196485677752465
Cr_5,0.02613808905984166
Cr_6,0.027237875929308868
Fe_1,-0.010301410588498122
Fe_2,-0.022212174713729098
Fe_3,-0.039720962417724284
Fe_4,-0.06714595547465152
Fe_5,-0.08825436010412871
Fe_6,-0.10746386456172674
Cd_1,0.002814691990643537
Cd_2,0.005748457772552161
Cd_3,0.009030519911284646
Cd_4,0.01196639827095654
Cd_5,0.010419668271493229
Cd_6,0.014578055132530715
Zn_1,0.00101423322654875
Zn_2,0.01039211296554796
Zn_3,0.03369102813005547
Zn_4,0.060545505704704176
Zn_5,0.08307972081019424
Zn_6,0.09925624685196596
Cu_1,0.003263415371866057
Cu_2,0.009468526047880376
Cu_3,0.016683220002761116
Cu_4,0.022660967920303532
Cu_5,0.03107798168329228
Cu_6,0.03921574103074359
Pb_1,0.0015867018223427814
Pb_2,0.0042109494425571995
Pb_3,0.011819093793667764
Pb_4,0.018047108227860147
Pb_5,0.02545289611534018
Pb_6,0.036034766703014254
