locus,gene_weight,gene_name,gene_product,COG,operon,regulator,PchR,link
BSU_35090,0.105704847,yvmA,unknown,Amino acid transport and metabolism,pchR->yvmA,"PchR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35090
BSU_35080,0.102702896,pchR,transcription factor ([SW|MarR family]),Transcription,pchR->yvmA,"PchR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35080
BSU_35060,0.09589101700000001,cypX,"cytochrome P450, cyclo-l-leucyl-l-leucyl dipeptide oxidase",No COG category,yvmC->cypX,"PchR,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35060
BSU_35070,0.091383958,yvmC,cyclodipeptide synthase,Function unknown,yvmC->cypX,"PchR,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35070
