,A,PchR
R2,,0.292167526582104
xmin,,-1.6893
xmid,,0.791999025852406
xmax,,7.1485
ystart,,7.311192522693853
yend,,66.57119545393248
LBexp_1,-4.3182469262,0.1836
LBexp_2,-1.7657133847000002,0.2584
LBexp_3,-1.1196268706,0.0495
LBtran_1,12.3068538741,-0.3719
LBtran_2,8.502702234200001,-0.1638
LBtran_3,8.9921051863,0.0184
LBstat_1,15.6994515519,-0.9172
LBstat_2,19.9600660699,-1.0452
LBstat_3,23.8253482915,-1.1411
LBGexp_1,-8.2251040222,0.5125000000000001
LBGexp_2,-4.7440065235,0.37220000000000003
LBGexp_3,-5.7645628115,0.7119000000000001
LBGtran_2,10.939060831599999,0.6712
LBGtran_3,3.4951576561,0.4086
LBGstat_1,68.2525422174,7.1434
LBGstat_2,64.8529058779,7.1485
LBGstat_3,36.1040506894,6.0063
S0_1,8.0319303705,-0.45380000000000004
S0_2,7.214859208,0.1102
S0_3,8.9491747628,0.2379
S1_1,5.2550664579,-0.6652
S1_2,4.7914384837,-0.7201000000000001
S1_3,4.2618965452,-0.523
S2_1,8.2346228106,-0.4207
S2_2,9.1636832517,-0.7111000000000001
S2_3,12.0760218796,-0.8347
S3_1,10.7350703778,-0.42750000000000005
S3_2,10.1510253203,-0.4661
S4_1,11.7655125383,-0.45030000000000003
S4_2,14.2909057632,-0.8468
S4_3,14.9208691312,-1.088
S5_1,17.1970997653,-0.8927
S5_2,17.4794597072,-0.6123000000000001
S5_3,16.569994888,-0.7779
S6_1,26.8082713659,-0.9073
S6_2,38.5492747995,-1.6503999999999999
S6_3,23.290108968,-0.7049000000000001
S6/t_1,27.0493010998,-0.4408
S6/t_2,37.6601835654,-1.6077
S6_4,24.6451557525,-0.46190000000000003
S6_5,25.1036314796,-0.3549
S6_6,24.6592213861,-0.1965
S7_4,23.6880267332,0.032100000000000004
S7_5,25.107867862,-0.0158
S7_6,24.5860032584,0.1983
S8_4,24.6034425257,-0.1345
S8_5,32.6983453814,0.153
G135_1,-4.3903927369,0.7627
G135_3,4.0097356837,-0.7534000000000001
G150_1,-3.4933991312,0.2283
G150_2,-6.1717805418000005,0.8187000000000001
G150_3,-5.5676884995,0.8639
G180_1,-5.1366985516,0.6805
G180_2,-6.3587185013,0.9394
G180_3,-3.2360365275,0.031100000000000003
C30_1,14.7947441188,0.229
C30_2,15.1221510554,0.1565
C90_1,8.899890297,-0.4637
C90_2,6.5589094884,-0.7494000000000001
BI_1,13.4105378638,-0.456
BI_2,14.575024044,-0.3085
BC_2,26.6539031404,-1.3353000000000002
BC/t_1,32.2238654778,-1.2566
BC/t_2,27.8002038751,-0.3004
BC_1,31.3168980989,-1.3158
Sw_1,38.2468179222,-1.6516000000000002
Sw_2,35.8008700872,-1.2826
BT_1,29.8021928001,1.9284
BT_2,30.2904232525,1.1413
B36_1,37.7578263846,2.5597
B36_2,35.3055908775,1.7567
B60_1,32.8505432128,0.378
B60_2,26.4525438233,0.5188
M9exp_1,-0.1128390516,0.1956
M9exp_2,0.47914492000000003,0.06330000000000001
M9exp_3,-0.3663058684,-0.2589
M9tran_1,4.5175135255,-0.22110000000000002
M9tran_2,4.6001759885,-0.183
M9tran_3,3.1504036042,-0.23020000000000002
M9stat_1,23.3626312264,-0.9945
M9stat_2,29.5944646929,-0.7589
M9stat_3,29.2838859047,-1.0969
M+G_1,5.9116131142,0.4046
M+G_2,2.2806984735,-0.3235
M+G_3,2.9344289556,-0.24860000000000002
Glu_1,2.2699860725,-0.0012000000000000001
Glu_2,2.2174437449,-0.20750000000000002
Glu_3,1.8674188948000001,-0.17270000000000002
Fru_1,1.4041242508,-0.5197
Fru_2,4.1753847443,-0.0974
Fru_3,2.8749278347000002,-0.4847
Mal_1,7.6131954344,-0.6485000000000001
Mal_2,4.0300404941,-0.5411
Mal_3,4.1092631612,-0.1694
G+S_2,6.8658224401,-0.859
G+S_3,7.6036125853000005,-0.4862
Pyr_1,8.3637358611,-0.7345
Pyr_2,9.2844098799,-0.3292
Pyr_3,10.0957443107,-0.09
Gly_1,17.0266750703,-0.7435
