,-0.08667888693333335,-0.07584402606666668,-0.06500916520000001,-0.05417430433333334,-0.04333944346666667,-0.0325045826,-0.021669721733333328,-0.010834860866666657,1.3877787807814457e-17,0.010834860866666685,0.021669721733333355,0.032504582600000026,0.0433394434666667,0.05417430433333338,0.06500916520000004,0.0758440260666667,0.08667888693333338,0.09751374780000006,0.10834860866666672,0.11918346953333338
thresh,-0.08126145650000001,0.08126145650000001,2,,,,,,,,,,,,,,,,,
unreg,1,2,1,8,25,122,341,1033,2645,1291,302,67,19,6,2,0,0,0,0,0
PchR,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,2,2,0
unreg_genes,['S1068'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PchR_genes,[],[],[],[],[],[],[],[],['S382' 'yisI' 'S383'],[],[],[],[],['S1339'],[],[],['S1336' 'yvmC'],['cypX' 'pchR'],['yvmA' 'S1337'],[]
