,A,Fnr,NarP,NarL
R2,,0.06713343506790659,0.034949499821043783,0.026782805365791473
xmin,,-7.8525940196,-3.4636144832999998,-3.0560450505
xmid,,-1.173121739125804,-2.039181752814643,-1.0586086625615363
xmax,,4.4171410107,2.9757521876,2.4694155805999998
ystart,,1.4329627856571154,-0.5058885341303995,1.079634864559344
yend,,-3.3230873486707417,2.1425769074256027,-0.7456905683601787
aat__00m_00s__1,0.7773101927,-0.0825740115,-0.025949787000000002,0.0834143878
aat__00m_30s__1,-0.6824026857000001,0.16485310350000001,-0.0137519644,0.0504933555
aat__01m_00s__1,-0.5912026487,0.7752711503,0.0609692344,0.031696480900000004
aat__02m_00s__1,-0.7237717213,0.9066270852,-0.10841500300000001,-0.0029696078000000002
aat__05m_00s__1,-1.4638726675,0.95171602,-0.2022767549,-0.3118176763
aat__10m_00s__1,-1.3313521519,1.0192587317,0.122656549,-1.1250431231
aat__00m_00s__2,-0.3852517018,0.1234264677,-0.25349993590000003,0.0253800388
aat__00m_30s__2,-0.5505252528,0.4334180231,0.11107518100000001,-0.0159687598
aat__01m_00s__2,0.3148756472,0.7979562918,-0.056693302200000004,0.11729304230000001
aat__02m_00s__2,-0.9297265263000001,0.8964971719,-0.3977770989,-0.0645860458
aat__05m_00s__2,-1.8528589199,0.9047534472000001,-0.2185532135,-0.4360385312
aat__10m_00s__2,-0.5887227407,0.9185125141,-0.0581421639,-0.7155510694
aat__00m_00s__3,-0.3920584909,-0.040852456200000005,0.27944972300000004,-0.10879442660000001
aat__00m_30s__3,0.5975230177,0.2208704434,0.181212162,0.004012204
aat__01m_00s__3,-0.1357002723,0.7920547098,0.0720095186,0.1317350897
aat__02m_00s__3,-0.1885288503,0.8818752216,-0.12842398730000001,0.0470774695
aat__05m_00s__3,-1.1301530209,0.9825066807,-0.21288096950000002,-0.5255995358000001
aat__10m_00s__3,-0.7788573864,0.9444446514,-0.1782494413,-0.9168248342
abx_mega__dmso-2__1,-0.011275509500000001,0.0403637158,-0.4338146809,1.9154446272
abx_mega__ery_dmso__1,2.5578520968,0.5459244040000001,-0.1175039434,-0.7280519322
abx_mega__nal_naoh__1,-4.3187708372,-0.6791990309,-1.0752569035,1.1947183288
abx_mega__dmso-5__1,-0.6948056747,0.0078028844000000005,-0.1711096228,0.1780909309
abx_mega__rif_dmso__1,2.2092411295,-1.3129271236,0.48338741570000004,1.2955909793
abx_mega__novo_h2o__1,-0.7926222561,0.20689053170000002,-1.8476087346,-1.6319055235
