,ycjZ
Cr_1,0.00045241729726972776
Cr_2,0.0037215850208373404
Cr_3,0.010897971175492916
Cr_4,0.01897492999713773
Cr_5,0.021656059750712376
Cr_6,0.024635796524620668
Fe_1,-0.00650682014883265
Fe_2,-0.026996223691836786
Fe_3,-0.04095720278313325
Fe_4,-0.044573987843178814
Fe_5,-0.034647310176478006
Fe_6,-0.009076401871955356
Cd_1,0.0011665660564329175
Cd_2,0.00450337333219328
Cd_3,0.009925773018712234
Cd_4,0.01863664321774533
Cd_5,0.020174764951396862
Cd_6,0.02794417745582406
Zn_1,-0.02029801752822344
Zn_2,-0.0348124312414651
Zn_3,-0.03973759753171415
Zn_4,-0.043917150309929084
Zn_5,0.008168479728977246
Zn_6,0.04514484472329401
Cu_1,0.011232367761818449
Cu_2,0.020076494185439647
Cu_3,0.025380534429487813
Cu_4,0.034171846293717466
Cu_5,0.04471646189627305
Cu_6,0.05935752907473674
Pb_1,0.00010822493435755113
Pb_2,0.004939580322514911
Pb_3,0.017353181470571574
Pb_4,0.02684233824330876
Pb_5,0.04144343228949972
Pb_6,0.0589884624325268
