,ompR
Cr_1,-0.003933277410371415
Cr_2,-0.00660414727902881
Cr_3,-0.010002360691426107
Cr_4,-0.011272900055585221
Cr_5,-0.01513202715233971
Cr_6,-0.018974947784051427
Fe_1,0.00031572196524756095
Fe_2,-0.009486141188540229
Fe_3,-0.024455073081713418
Fe_4,-0.03974747320869064
Fe_5,-0.058539779658739285
Fe_6,-0.07425414876820836
Cd_1,0.002149220184176151
Cd_2,0.006223646691816789
Cd_3,0.012811698884281814
Cd_4,0.02009002335093928
Cd_5,0.01905852351901123
Cd_6,0.020509956209779055
Zn_1,0.0049180506536217715
Zn_2,0.009167716044917595
Zn_3,0.015985185481156263
Zn_4,0.03175291233384072
Zn_5,0.05468330762380842
Zn_6,0.08114101683734369
Cu_1,0.004235105858170119
Cu_2,0.010261336056191957
Cu_3,0.018766402065540675
Cu_4,0.03199591081412515
Cu_5,0.04863193356776371
Cu_6,0.0667928035685063
Pb_1,0.005234545675842515
Pb_2,0.008626631477902937
Pb_3,0.012895183294896941
Pb_4,0.01802669648199997
Pb_5,0.020424490914297315
Pb_6,0.027750013173118017
