,A,MarA,Rob,SoxS
R2,,0.2671231294231353,0.06711302802580965,0.03176599106792988
xmin,,-3.9616957394,-4.6095224105,-6.550050657
xmid,,0.28204081493028876,,1.1238450786439755
xmax,,6.743759748,2.6198603558,6.984065303
ystart,,-0.12240217448662238,3.6613311386220677,0.3057094169282085
yend,,8.41052204386633,-1.581746165870769,2.929208302982621
aat__00m_00s__1,-0.5607374599,-0.006812383000000001,-0.1307203282,0.6049298045
aat__00m_30s__1,-0.5769182716,-0.1590580577,-0.1927427347,1.3871361292
aat__01m_00s__1,-0.7135618414,-0.08452463560000001,-0.4250847219,2.481991374
aat__02m_00s__1,-1.3401608453,-0.3281762393,-0.4134939409,3.175986576
aat__05m_00s__1,-1.3562799927,0.15808148400000002,-0.4772358179,4.2621177106
aat__10m_00s__1,-0.3771283559,0.6488701604,-0.42573489740000003,5.2356248738
aat__00m_00s__2,0.5092939936,-0.19461449490000002,0.0670659574,-0.543356217
aat__00m_30s__2,-0.5708453183000001,-0.1285404451,0.0561367804,1.9796601533
aat__01m_00s__2,-0.8634225170000001,-0.1294872491,-0.32276603470000004,2.3633424613000003
aat__02m_00s__2,-1.1157630599,-0.2745053021,-0.46862171610000003,3.1963344098
aat__05m_00s__2,-1.3950280282,-0.2829135836,-0.5923620013,4.5281974976
aat__10m_00s__2,-1.3473552308,0.1548882011,-0.5565081527,5.0563946221
aat__00m_00s__3,0.0514434662,0.2014268779,0.0636543708,-0.0615735875
aat__00m_30s__3,-1.2108371212,0.4845565926,-0.0390128849,1.3642087595999999
aat__01m_00s__3,-1.1435313704,0.1257374246,-0.3807153278,2.0938203226
aat__02m_00s__3,-1.6336083430000001,0.0792893026,-0.2376829407,3.0186881448
aat__05m_00s__3,-2.1485379709,-0.075958759,-0.4997388106,4.5388002279
aat__10m_00s__3,-1.5551276541,0.46284071990000003,-0.428245309,5.3447472309
abx_mega__dmso-2__1,0.5008112697,-0.7330415333,2.0700535546,0.1288398648
abx_mega__ery_dmso__1,5.142369783,2.540166964,-1.2860803632,0.1060526531
abx_mega__nal_naoh__1,-0.866783791,-1.0704468478,1.7457139271000002,1.7907912964000001
abx_mega__dmso-5__1,-0.41671528220000004,-0.0275928083,-0.2791407504,1.2216036832000001
abx_mega__rif_dmso__1,0.8683001539,2.8259825051,-1.2080970369,1.3352402628
abx_mega__novo_h2o__1,-3.2177779634,0.6075015358,-1.4732548375,1.6074935602
abx_mega__rach_dmso__1,1.9596281925,0.3780288764,-0.3650578416,1.4550054035
abx_mega__metro_dmso__1,3.2337977993,2.8911164329,-1.1167031696,3.4130561472
abx_mega__dmso-6__1,-1.0244333065,0.13136358210000001,0.0127596522,0.2576974199
abx_mega__chl_h2o__1,1.0809346036,2.848829016,-0.7830376515,-1.0895406373
abx_mega__cst_h2o__1,0.87174851,0.2295034282,0.43359899500000004,0.939396785
abx_mega__tec_h2o__1,0.1888972327,-1.0327108808,1.2735641539,2.4822282833
abx_mega__str_h2o__1,-0.5164517661,-0.40778245690000003,2.0570686792,2.0833260494
abx_mega__ctx_h2o__1,0.3514408533,0.7186888843,0.0232967385,0.806227236
abx_mega__nal_naoh__2,0.1561261063,0.9588990223,0.15429447500000001,0.9656189942000001
abx_mega__phos_h2o__1,-1.7375722079,-0.7394753037,0.1656390579,-1.5054211269
abx_mega__dmso-5__2,-1.2612236904,0.13010346720000002,-0.22216871800000002,1.143655056
abx_mega__polmyx_h2o__1,0.8406912302,-0.2461908334,0.25558338810000003,-0.29725854100000004
abx_mega__h2o-8b__1,0.6571483526,0.058503909300000004,0.3894072281,0.8263991432000001
abx_mega__h2o-6__1,1.1408420964000001,0.123839606,0.2368236366,-0.0856607582
abx_mega__thio_dmso__1,3.7797932896,2.0382558621,-0.7357274485,-0.09780684860000001
abx_mega__phos_h2o__2,-0.37894612790000004,-0.7239846981,0.4151517261,-0.8032320694
abx_mega__ctx_h2o__2,2.4007825188,-0.49611786760000004,-0.06393179,0.2974468242
abx_mega__lzd_dmso__1,4.1029271542,1.1198845636,-0.6817815596,-0.1810144651
