,-0.16643853215084659,-0.14424672786406703,-0.12205492357728748,-0.09986311929050792,-0.07767131500372837,-0.055479510716948816,-0.03328770643016926,-0.011095902143389708,0.011095902143389846,0.0332877064301694,0.055479510716948954,0.07767131500372851,0.09986311929050806,0.12205492357728764,0.14424672786406717,0.1664385321508467,0.18863033643762628,0.21082214072440586,0.23301394501118539,0.2552057492979649
thresh,-0.06657541286033863,0.06657541286033863,6,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,1,7,105,2088,1831,76,16,6,4,3,1,0,0,0,0,0
Rob,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
MarA,0,0,0,0,0,0,3,8,4,6,0,0,0,0,0,0,0,0,0,0
SoxS,1,0,0,0,0,0,2,4,3,2,1,0,0,0,0,0,0,0,0,0
MarA and SoxS,0,0,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0
"Rob, MarA, and SoxS",0,0,0,0,0,1,0,2,5,2,5,2,1,4,4,0,1,0,0,0
unreg_genes,[],[],[],['lon'],['ompF'],[],[],[],[],[],[],['yadI' 'rsmE' 'gshB' 'dtpD' 'gcd' 'lpxT'],['ybdO' 'hemB' 'yncD' 'yadH'],['yadG' 'idi' 'yeiR'],['yhcN'],[],[],[],[],[]
Rob_genes,[],[],[],[],[],[],[],[],['ldtB' 'mltF'],[],['aslB'],[],[],[],[],[],[],[],[],[]
MarA_genes,[],[],[],[],[],[],['purA' 'xseA' 'yhiD'],['ymgA' 'hdeB' 'ycgZ' 'dctR' 'lacY' 'ariR' 'hdeA' 'lacZ'],['lacA' 'slp' 'yncE' 'ymgC'],['mlaB' 'mlaC' 'putA' 'mlaF' 'mlaE' 'mlaD'],[],[],[],[],[],[],[],[],[],[]
SoxS_genes,['soxS'],[],[],[],[],[],['fldB' 'ompW'],['fur' 'ompN' 'fldA' 'pgi'],['zinT' 'ydbK' 'ptsG'],['ribA' 'nepI'],['yrbL'],[],[],[],[],[],[],[],[],[]
MarA and SoxS_genes,[],[],[],[],[],[],['fpr'],[],['waaY' 'waaZ' 'decR' 'pqiB' 'pqiA'],['pqiC' 'poxB'],[],[],[],[],[],[],[],[],[],[]
"Rob, MarA, and SoxS_genes",[],[],[],[],[],['rob'],[],['fumC' 'nfo'],['ygiC' 'sodA' 'ygiB' 'aldA' 'dapD'],['map' 'glnD'],['acrB' 'ybjN' 'acrA' 'tolC' 'zwf'],['acrZ' 'acnA'],['mdaB'],['rimK' 'inaA' 'nfsB' 'marB'],['nfsA' 'ybjC' 'marA' 'marR'],[],['yhbW'],[],[],[]
