,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,-9.25185853854297e-18,0.3677714363794068,3.0,0.0,0.2585697191,1.0,-0.4210246489,2.0,0.1624549298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,0.239812002,0.2273858389237228,3.0,3.0,0.49890471690000004,4.0,0.14711050250000002,5.0,0.0734207866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,2.680366582133333,0.7674069537533974,3.0,6.0,2.2342982835,7.0,2.2403164703,8.0,3.5664849926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,2.64338815386942e-18,0.5717617082275736,21.0,9.0,-0.1458830135,10.0,-0.430617742,11.0,0.07537723660000001,12.0,-0.1584439043,13.0,-0.4928141756,14.0,-0.3891724573,15.0,0.1419312354,16.0,0.8118912627,17.0,0.5125830563,18.0,1.1134732357,19.0,1.3801948442,20.0,-0.4441903668,21.0,-0.1179216761,22.0,-0.693602657,23.0,-0.32612721440000003,24.0,-0.48030185900000005,25.0,0.4779005335,26.0,0.2952921553,27.0,-0.24464806600000003,28.0,-0.5503243705,29.0,-0.3345960572
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,8.310988328561903,2.381359736052027,21.0,30.0,10.4083462173,31.0,7.8963902318,32.0,10.1138758829,33.0,10.8488695947,34.0,5.8661799663,35.0,8.8927220594,36.0,7.9319739006,37.0,8.6342931931,38.0,8.3476241016,39.0,9.7152325877,40.0,4.8083755877000005,41.0,6.7590708888,42.0,5.0019185161,43.0,5.1350066236,44.0,6.9358701117,45.0,4.8568682054,46.0,9.9963319833,47.0,7.1965920475,48.0,11.5575860002,49.0,10.833802852,50.0,12.7938243481
5,WT_vs_Del_ccpA__THY_None_WT_exponential,0.0,0.2213639689283245,3.0,51.0,-0.1225518029,52.0,0.2555380914,53.0,-0.1329862885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,1.23704151965,0.7825211755932545,4.0,54.0,1.9553952984,55.0,0.7491693575,56.0,0.3950249946,57.0,1.8485764281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-2.4999992527530157e-11,0.4723717574838405,4.0,58.0,-0.6742363039,59.0,0.2928972368,60.0,0.3584671869,61.0,0.022871880100000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-0.6769664186,0.21486813346155248,4.0,62.0,-0.6003846958,63.0,-0.6307325144,64.0,-0.9863266177000001,65.0,-0.49042184650000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,0.779545669325,0.4519834500837984,4.0,66.0,1.2275444873,67.0,0.995398069,68.0,0.1781551291,69.0,0.7170849919000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
