,-0.1611754309818182,-0.1410285021090909,-0.12088157323636362,-0.10073464436363633,-0.08058771549090904,-0.06044078661818175,-0.040293857745454464,-0.020146928872727177,1.1102230246251565e-16,0.0201469288727274,0.040293857745454686,0.060440786618181974,0.08058771549090926,0.10073464436363655,0.12088157323636384,0.14102850210909113,0.1611754309818184,0.1813223598545457,0.201469288727273,0.22161621760000028
thresh,-0.1108081088,0.1108081088,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,2,9,14,61,403,802,350,54,13,4,2,1,1,2,3,1,0
unreg_genes,['SP5448_01425'],[],[],[],[],[],[],[],[],[],[],[],[],[],['SP5448_03530'],['isp2'],['SP5448_08770' 'ihk'],['SP5448_08755' 'SP5448_08775' 'yvrN'],['macB'],[]
