,yjjU
Cr_1,0.0012709400302856944
Cr_2,0.004118450872533627
Cr_3,0.010396449165378685
Cr_4,0.014804941752348734
Cr_5,0.01924457879285215
Cr_6,0.021964963242140943
Fe_1,-0.009302312583533135
Fe_2,-0.02465139906821377
Fe_3,-0.034420478631467036
Fe_4,-0.05024018121157806
Fe_5,-0.0564332770562334
Fe_6,-0.0602764943249299
Cd_1,0.008269165208569363
Cd_2,0.028964434823359718
Cd_3,0.0506953933824351
Cd_4,0.07012841677530335
Cd_5,0.090600608018352
Cd_6,0.07061602440209742
Zn_1,-0.006269673933936335
Zn_2,-0.024506568604899484
Zn_3,-0.03804792707803767
Zn_4,-0.041528149144319314
Zn_5,-0.04429280375334145
Zn_6,-0.04745523287398446
Cu_1,0.0007968341822184384
Cu_2,0.0007009811798697383
Cu_3,-0.007911506936540469
Cu_4,-0.015722742017928202
Cu_5,-0.02693569072715676
Cu_6,-0.02970817409337197
Pb_1,0.00555031177527956
Pb_2,0.008035437745449429
Pb_3,0.009581448205006369
Pb_4,0.008661887724561921
Pb_5,0.010697487485635369
Pb_6,0.0158758264606919
