,dinB
Cr_1,0.0036837206155877524
Cr_2,0.019528425702816123
Cr_3,0.05144068219772378
Cr_4,0.08902073573363421
Cr_5,0.12427794888992075
Cr_6,0.1541178410293677
Fe_1,-0.009257353634924914
Fe_2,-0.0139466605229356
Fe_3,-0.015680468757450675
Fe_4,-0.017076459274465626
Fe_5,-0.02237303901400381
Fe_6,-0.0268795937672855
Cd_1,0.00962232346440632
Cd_2,0.019097380175311436
Cd_3,0.029958858715070518
Cd_4,0.041971692112457465
Cd_5,0.051049178116700435
Cd_6,0.059361936186001475
Zn_1,-0.006109513476769075
Zn_2,-0.010557354514017351
Zn_3,-0.0016676526908496869
Zn_4,0.00669523491338402
Zn_5,0.015242320358232078
Zn_6,0.018469957342519838
Cu_1,-0.003397743522779388
Cu_2,-0.00952099552936548
Cu_3,-0.012076519708065605
Cu_4,-0.009755704024244109
Cu_5,-0.0034682978890612608
Cu_6,0.004317608606554198
Pb_1,0.007617802394128168
Pb_2,0.020178131695416192
Pb_3,0.03011525922486748
Pb_4,0.045464206749405586
Pb_5,0.0618368415492392
Pb_6,0.07463515228155446
