sample,b4515
control__wt_glc__1,1.8946691144361898
control__wt_glc__2,2.36901287859888
fur__wt_dpd__1,1.21621476870872
fur__wt_dpd__2,1.2506797172232098
fur__wt_fe__1,3.3398526050861297
fur__wt_fe__2,3.34233161596478
fur__delfur_dpd__1,1.20611831962573
fur__delfur_dpd__2,0.0
fur__delfur_fe2__1,3.37191339248405
fur__delfur_fe2__2,3.89992274213003
acid__wt_ph5__1,0.0
acid__wt_ph5__2,0.0
acid__delgadx_ph5__1,0.0
acid__delgadx_ph5__2,0.0
acid__delgadw_ph5__1,1.87629458836453
acid__delgadw_ph5__2,0.0
acid__delgade_ph5__1,0.0
acid__delgade_ph5__2,0.0
oxidative__wt_pq__1,0.0
oxidative__wt_pq__2,0.0
oxidative__deloxyr_pq__1,0.0
oxidative__deloxyr_pq__2,0.0
oxidative__delsoxr_pq__1,0.0
oxidative__delsoxr_pq__2,0.0
oxidative__delsoxs_pq__1,0.0
oxidative__delsoxs_pq__2,0.0
nac_ntrc__wt_csn__1,3.9299641457926695
nac_ntrc__wt_csn__2,1.79616282550989
nac_ntrc__wt_cytd__1,3.0730653940380095
nac_ntrc__wt_cytd__2,1.51888181822386
nac_ntrc__wt_gln__1,3.93340652723891
nac_ntrc__wt_gln__2,3.0226415538879703
nac_ntrc__bw_delnac_csn__1,0.0
nac_ntrc__bw_delnac_csn__2,0.0
nac_ntrc__bw_delnac_cytd__1,0.0
nac_ntrc__bw_delnac_cytd__2,0.0
nac_ntrc__bw_delnac_gln__1,0.0
nac_ntrc__bw_delnac_gln__2,0.0
nac_ntrc__bw_delnac_nh4__1,2.35086172751477
nac_ntrc__bw_delnac_nh4__2,0.0
misc__wt_no_te__1,0.0
misc__wt_no_te__2,0.0
misc__bw_delcbl__1,1.5308961335080902
misc__bw_delcbl__2,2.055877909924
misc__bw_delfabr__1,1.7025220037148898
misc__bw_delfabr__2,0.0
misc__bw_delfadr__1,1.9598617393699598
misc__bw_delfadr__2,1.8316840036722901
misc__nitr_031__1,0.0
omics__wt_glu__1,0.0
omics__wt_glu__2,0.0
omics__wt_gly__1,1.36102007236171
omics__wt_gly__2,0.0
