,ydaG
Cr_1,0.0013671802660269571
Cr_2,0.00697977551433962
Cr_3,0.01191454629384596
Cr_4,0.015354679598793388
Cr_5,0.01493263845096071
Cr_6,0.018122673137232887
Fe_1,-0.014500257375959509
Fe_2,-0.02941524268744008
Fe_3,-0.040698995624405314
Fe_4,-0.04574666363985524
Fe_5,-0.05271725335869947
Fe_6,-0.054377080511988286
Cd_1,-0.014895507944856397
Cd_2,-0.017821812573375943
Cd_3,-0.015177118160698822
Cd_4,0.0006509148260841612
Cd_5,0.009311497426791136
Cd_6,0.023205500518592843
Zn_1,-0.008989387171125447
Zn_2,-0.012173431459239136
Zn_3,0.0006310900901684731
Zn_4,0.018007655226903316
Zn_5,0.03156904625874312
Zn_6,0.03653960083479425
Cu_1,0.003859270115047617
Cu_2,0.00898113723242942
Cu_3,0.01882322116673713
Cu_4,0.029454678746772732
Cu_5,0.03618445756974942
Cu_6,0.039227475408126114
Pb_1,-0.003026747820642509
Pb_2,-0.007232124725513234
Pb_3,-0.009324520040201777
Pb_4,-0.00926367552076251
Pb_5,-0.00884320070367738
Pb_6,-0.0075622448554222765
