,uidC
Cr_1,-0.0001956394235769095
Cr_2,-0.04463706380802868
Cr_3,-0.045904265150968536
Cr_4,-0.04599031610960375
Cr_5,-0.045613092964205626
Cr_6,-0.020655902208565217
Fe_1,-0.034445230022382985
Fe_2,-0.12394589410819802
Fe_3,-0.2426932790955872
Fe_4,-0.11887185127335045
Fe_5,-0.1920830210108304
Fe_6,-0.2232215563346198
Cd_1,0.011644547929848693
Cd_2,-0.002155068507907993
Cd_3,0.054560553973269414
Cd_4,0.06805393069200616
Cd_5,0.11218722112077884
Cd_6,0.14180442824426465
Zn_1,-0.010525394939133691
Zn_2,-0.027247527754249632
Zn_3,-0.031907171772838444
Zn_4,-0.02672879702118206
Zn_5,-0.02542454150305589
Zn_6,-0.024594260575660838
Cu_1,-0.06712379335299519
Cu_2,-0.0969297772779486
Cu_3,-0.10829755294607248
Cu_4,-0.12224884383976095
Cu_5,-0.12291121544171607
Cu_6,-0.12448270966489627
Pb_1,0.0008912843320420002
Pb_2,0.005302895781760648
Pb_3,0.017966304532813896
Pb_4,0.024137855897101997
Pb_5,0.0313074916487171
Pb_6,0.03926459438149498
