,A,PplR1
R2,,0.8101493894162684
xmin,,-2.729722206
xmid,,
xmax,,3.0106280740000013
ystart,,-14.590199422871564
yend,,17.295955638578075
ALE:GalactoseA5:1.0,2.332478117878824,-0.1818838882499989
ALE:GalactoseA5:2.0,2.712734750355864,-0.210475742249999
ALE:GalactoseA6:1.0,0.3104995317352176,-0.2815997202499991
ALE:GalactoseA6:2.0,0.7021269345155586,-0.0361723762499988
ALE:GalactoseA8:1.0,2.13373239716222,0.1526800507500008
ALE:GalactoseA8:2.0,1.7963131139675683,0.0310007917500003
ALE:IL_Control:1.0,0.0630270652530214,-0.1159576642499988
ALE:IL_Control:2.0,1.359678999520222,0.3704983467500007
ALE:IL_Control:3.0,-0.763474910156021,-0.1252355132499989
ALE:IL_Control:4.0,-0.6592311550456587,-0.1293051692499993
ALE:IL_TEOH_OAc:1.0,-0.3765000607275586,-0.929378377249999
ALE:IL_TEOH_OAc:2.0,1.9180179591166189,0.0742797647500008
ALE:IL_TEA_HS:1.0,0.3567663021909387,0.5301827127500012
ALE:IL_TEA_HS:2.0,-2.2401676205588488,-0.0775203522499996
ALE:IL_Mixed:1.0,1.7132203874598428,0.6012661347500012
ALE:IL_Mixed:2.0,2.2724779078605186,0.4454018507500006
ALE:IL_PP5350:1.0,-7.3575362146196674,-1.5167502612499997
ALE:IL_PP5350:2.0,-6.4988811286480965,-1.0852431872499988
ALE:IL_T8:1.0,-4.072285078692556,-0.6105035052499996
ALE:IL_T8:2.0,-3.604029168803672,-0.7274049612499995
ALE:IL_T9:1.0,-0.7968910395428399,-0.3229916712499996
ALE:IL_T9:2.0,-0.1359923098493597,-0.2480541902499995
ALE:IL_Control2:1.0,-9.683399779972447,-0.7896153862499995
ALE:IL_Control2:2.0,-9.107334032387378,-0.8808417202499994
ALE:IL_Glc+Ace:1.0,-0.2177830698121707,-0.3334174392499989
ALE:IL_Glc+Ace:2.0,-0.5658303438716696,-0.2791719332499989
ALE:XyloseA1:1.0,1.6239965397792882,0.1751885457500011
ALE:XyloseA1:2.0,0.7491768789373812,0.1306202817500006
ALE:XyloseA2:1.0,2.658422568115764,-0.0013561822499994
ALE:XyloseA2:2.0,2.8857368790898463,0.4270474967500011
ALE:XyloseA3:1.0,-5.917604874811375,-1.9426232842499989
ALE:XyloseA3:2.0,-5.951499418142846,-1.8393002682499988
ALE:XyloseA4:1.0,1.46293712766807,0.2520362967500009
ALE:XyloseA4:2.0,1.9628898682353333,0.0374707037500003
Aromatic:Coumarate:1.0,7.55393364981307,1.6611130689999998
Aromatic:Coumarate:2.0,5.441907109555314,1.17254917
Aromatic:Coumarate:3.0,4.289101694600105,1.1452674209999998
Aromatic:Coumarate+ferulate:1.0,2.3450995704023883,1.4948537839999991
Aromatic:Coumarate+ferulate:2.0,2.5231599897954644,1.2391434949999995
Aromatic:Coumarate+ferulate:3.0,3.651495238792872,1.3199313249999998
Aromatic:Ferulate:1.0,4.532043494649408,1.3690000909999993
Aromatic:Ferulate:2.0,4.600949009495914,1.4388644949999998
Aromatic:Ferulate:3.0,6.051522229928475,1.5177216039999992
Aromatic:Glucose:1.0,-0.040158414961493,-0.1540664740000004
