,htpG
Cr_1,-0.0035742085656992398
Cr_2,-0.001944688550581332
Cr_3,0.005343444057298926
Cr_4,0.016831056170825955
Cr_5,0.03214031635850485
Cr_6,0.043548525779152976
Fe_1,-0.01766187360068514
Fe_2,-0.02080109965923386
Fe_3,-0.0066910293712600325
Fe_4,0.006891328874646519
Fe_5,0.019411300642157816
Fe_6,0.03024381426139
Cd_1,0.0010725129956522957
Cd_2,0.0051467425898561615
Cd_3,0.009623642381164048
Cd_4,0.01724376914922086
Cd_5,0.021909009616401985
Cd_6,0.03176737808926964
Zn_1,0.004975297993678679
Zn_2,0.01721474709900923
Zn_3,0.039814200893684974
Zn_4,0.0694025976163721
Zn_5,0.0960575460692779
Zn_6,0.12327946098677438
Cu_1,-0.00034383319579409045
Cu_2,-0.002185895436939296
Cu_3,0.0014796153639609214
Cu_4,0.007356777448018483
Cu_5,0.01079180863407963
Cu_6,0.019216087366275527
Pb_1,-0.001367734461548408
Pb_2,-0.0014345051525825581
Pb_3,-0.0015162532246665562
Pb_4,0.002221092462780644
Pb_5,0.012102755081431259
Pb_6,0.025415293259019187
