,A,PaaX,Crp,ihfB
R2,,0.08163022624026262,0.013957368207669907,0.0023426588006572047
xmin,,-3.5206762605,-9.852476477,-3.9178110457
xmid,,,,-0.0021806593772887672
xmax,,2.6837120975,2.5388323397,3.3245249795
ystart,,-2.7092340460543824,3.4604021356195136,0.377775033264924
yend,,3.229056422801832,-0.3370103879463331,1.4824913308949332
aat__00m_00s__1,1.9031181463,0.032786032300000004,0.0344951212,-0.1131958483
aat__00m_30s__1,-0.6942904477,-0.0372251714,0.1435731223,0.0772468121
aat__01m_00s__1,0.2613216789,0.0277331621,0.2534372822,0.0671979825
aat__02m_00s__1,0.0911612853,0.047068344000000005,0.283920339,-0.031233225400000002
aat__05m_00s__1,-0.4194450038,0.013836235,0.3175329239,0.0201842575
aat__10m_00s__1,-0.5458515677,0.0427753768,0.17602055360000002,-0.1696861744
aat__00m_00s__2,-1.4193490934000002,0.2703698728,0.005256366,0.030994294500000002
aat__00m_30s__2,-2.3528056937,0.2283405803,0.2819816342,0.0539088152
aat__01m_00s__2,-0.0935576977,0.2328961024,0.2801678667,0.1097352022
aat__02m_00s__2,-1.1388650662,-0.006190358,0.4762089513,0.2340397233
aat__05m_00s__2,-0.5243406192,0.3685364544,0.5370175003000001,0.2579735379
aat__10m_00s__2,1.4349073455,0.5070884766,0.5086233319,0.5504911606
aat__00m_00s__3,-0.4837690529,-0.3031559051,-0.039751487200000005,0.0822015539
aat__00m_30s__3,0.1929452848,0.0422180528,0.2905320638,0.4189166854
aat__01m_00s__3,-0.9493445998000001,0.030644483000000004,0.1859933018,0.2529822276
aat__02m_00s__3,-0.5473560104,0.015234035600000001,0.3699621097,0.39341672120000004
aat__05m_00s__3,0.1834834438,0.3647463628,0.5483756585,0.2673414086
aat__10m_00s__3,0.2932143747,0.26950566930000003,0.50143841,0.42329341260000003
abx_mega__dmso-2__1,-0.10941534080000001,0.3957443586,-0.4516798918,2.297485246
abx_mega__ery_dmso__1,1.4101287482,-0.8472884383,-1.8893970692000002,-1.5657193052
abx_mega__nal_naoh__1,-1.1249292135,-1.0806629636,-0.1701238306,1.171465281
